Nama Sekolah,Wilayah Jakarta
SMK Kencana 1 Jakarta,Jakarta Utara
SMK Kesehatan Global Cendekia,Jakarta Utara
SMK Kristen Harapan Mulia,Jakarta Utara
SMK Lagoa,Jakarta Utara
SMK Media Karya,Jakarta Utara
SMK Muhammadiyah 12,Jakarta Utara
SMK Mutiara 1 Jakarta,Jakarta Utara
SMK Nusantara 1 Jakarta,Jakarta Utara
SMK Nusantara 2 Jakarta,Jakarta Utara
SMK Pangeran Wijayakusuma,Jakarta Utara
SMK Pelayaran Djadajat Jakarta,Jakarta Utara
SMK Pelayaran Jakarta,Jakarta Utara
SMK Pelayaran Jakarta Raya,Jakarta Utara
SMK Pelayaran Jalasena,Jakarta Utara
SMK Pelayaran Malahayati Jakarta,Jakarta Utara
SMK Perguruan Cikini Jakarta,Jakarta Utara
SMK Perintis Nasional Jakarta,Jakarta Utara
SMK Permata Indah,Jakarta Utara
SMK PGRI 3 Jakarta,Jakarta Utara
SMK PGRI 11 Jakarta,Jakarta Utara
SMK PGRI 38 Jakarta,Jakarta Utara
SMK Pluit Raya,Jakarta Utara
SMK PSKD 3 Jakarta,Jakarta Utara
SMK Raudhatul Jannatunnaim,Jakarta Utara
SMK Remaja Pluit,Jakarta Utara
SMK Sari Putra,Jakarta Utara
SMK Sejahtera Jakarta,Jakarta Utara
SMK Siliwangi Jakarta,Jakarta Utara
SMK Sismadi,Jakarta Utara
SMK SPES Patriae,Jakarta Utara
SMK Strada 3 Jakarta,Jakarta Utara
SMK Syahid,Jakarta Utara
SMK Tanjung Priok 1 Jakarta,Jakarta Utara
SMK Tanjung Priok 2 Jakarta,Jakarta Utara
SMK Tridharma Budhidaya,Jakarta Utara
SMK Walang Jaya,Jakarta Utara
SMK Wiyatamandala Bakti Jakarta,Jakarta Utara
SMK Wiyatamandala Jakarta,Jakarta Utara
SMK Yanindo Jakarta,Jakarta Utara
SMK Yappenda Jakarta,Jakarta Utara
SMK Yaspi Jaya,Jakarta Utara
SMK Yusha Jakarta,Jakarta Utara
SMK 1 Barunawati,Jakarta Barat
SMK 1 Citra Adhi Pratama,Jakarta Barat
SMK Ad Dawah,Jakarta Barat
SMK Al Chasanah Jakarta,Jakarta Barat
SMK Al Firdaus,Jakarta Barat
SMK Al Hamidiyah,Jakarta Barat
SMK Al Huda Kebon Jeruk,Jakarta Barat
SMK Al Ihsan Jakarta,Jakarta Barat
SMK Al Mafatih Jakarta,Jakarta Barat
SMK Al Washilah 1 Jakarta,Jakarta Barat
SMK Benteng Gading Jakarta,Jakarta Barat
SMK Bhakti,Jakarta Barat
SMK Bhara Trikora 1 Jakarta,Jakarta Barat
SMK Bina Bangsa,Jakarta Barat
SMK Bina Husada Mandiri,Jakarta Barat
SMK Bina Insan Mandiri,Jakarta Barat
SMK Bina Insan Nusantara,Jakarta Barat
SMK Bina Karya Jakarta,Jakarta Barat
SMK Budi Murni 2,Jakarta Barat
SMK Bunda Mulia,Jakarta Barat
SMK Cahaya Prima,Jakarta Barat
SMK Candra Naya,Jakarta Barat
SMK Cengkareng 1,Jakarta Barat
SMK Cengkareng 2,Jakarta Barat
SMK Cengkareng Jakarta,Jakarta Barat
SMK Cindera Mata Indah Jakarta,Jakarta Barat
SMK Cinta Kasih Tzu Chi,Jakarta Barat
SMK Citra Utama,Jakarta Barat
SMK Dewi Sartika,Jakarta Barat
SMK Dhamma Savana Jakarta,Jakarta Barat
SMK Dian Jakarta,Jakarta Barat
SMK Didaktika,Jakarta Barat
SMK Duta Bangsa Jakarta,Jakarta Barat
SMK Duta Mas Jakarta,Jakarta Barat
SMK Eka Sakti,Jakarta Barat
SMK Era Pembangunan 3,Jakarta Barat
SMK Global Persada,Jakarta Barat
SMK Harapan Jaya,Jakarta Barat
SMK Harapan Raya,Jakarta Barat
SMK Harvard Jakarta,Jakarta Barat
SMK Ibu Pertiwi 1 Jakarta,Jakarta Barat
SMK Ibu Pertiwi 2 Jakarta,Jakarta Barat
SMK Insan Aqilah 4,Jakarta Barat
SMK Insan Cendikia,Jakarta Barat
SMK Insan Cita,Jakarta Barat
SMK Insan Global,Jakarta Barat
SMK IP Yakin,Jakarta Barat
SMK Islam Assaadatul Abadiyah Jakarta,Jakarta Barat
SMK Islam Bahagia,Jakarta Barat
SMK Islam Fatahillah Jakarta,Jakarta Barat
SMK Islam Perti Jakarta,Jakarta Barat
SMK Jakarta 1,Jakarta Barat
SMK Jakarta Barat 1,Jakarta Barat
SMK Jakarta III,Jakarta Barat
SMK Jakarta IV,Jakarta Barat
SMK Josua Jakarta,Jakarta Barat
SMK Kartika X 1,Jakarta Barat
SMK Kasih Anugerah,Jakarta Barat
SMK Kebon Jeruk Jakarta,Jakarta Barat
SMK Kebudayaan,Jakarta Barat
SMK Kesatuan,Jakarta Barat
SMK Kristen Cendrawasih,Jakarta Barat
SMK Kristen Pancaran Berkat,Jakarta Barat
SMK Kristen Rahmani,Jakarta Barat
SMK Lamaholot Jakarta,Jakarta Barat
SMK Maarif Jakarta,Jakarta Barat
SMK Muhammadiyah 3 Jakarta,Jakarta Barat
SMK Muhammadiyah 4 Jakarta,Jakarta Barat
SMK Muhammadiyah 13 Jakarta,Jakarta Barat
SMK Multimedia Mandiri,Jakarta Barat
SMK Mutiara Bangsa,Jakarta Barat
SMK Mutiara Bangsa 3,Jakarta Barat
SMK Nusantara,Jakarta Barat
SMK Padindi,Jakarta Barat
SMK Pariwisata Sumbangsih,Jakarta Barat
SMK Patmos,Jakarta Barat
SMK Patriot Nusantara,Jakarta Barat
SMK Pelita IV,Jakarta Barat
SMK Pembangun Generasi Emas,Jakarta Barat
SMK Permata Bunda I Jakarta,Jakarta Barat
SMK Permata Dunia,Jakarta Barat
SMK PGRI 2 Jakarta,Jakarta Barat
SMK PGRI 5 Jakarta,Jakarta Barat
SMK PGRI 24 Jakarta,Jakarta Barat
SMK PGRI 29 Jakarta,Jakarta Barat
SMK PGRI 35 Jakarta,Jakarta Barat
SMK PGRI 36 Jakarta,Jakarta Barat
SMK  Prima Wisata,Jakarta Barat
SMK  Putra Mandiri,Jakarta Barat
SMK Putra Nusantara,Jakarta Barat
SMK Reformasi,Jakarta Barat
SMK Santo Leo,Jakarta Barat
SMK Satria Jakarta,Jakarta Barat
SMK Sentosa,Jakarta Barat
SMK Setia Gama,Jakarta Barat
SMK Strada II Jakarta,Jakarta Barat
SMK Sumpah Pemuda,Jakarta Barat
SMK Taman Sakti Jakarta,Jakarta Barat
SMK Tanjung Jakarta,Jakarta Barat
SMK Teladan Jakarta,Jakarta Barat
SMK Telkom Sandhy Putra Jakarta,Jakarta Barat
SMK Tomang Raya,Jakarta Barat
SMK Tri Arga 2,Jakarta Barat
SMK Tri Ratna Jakarta,Jakarta Barat
SMK Tunas Harapan,Jakarta Barat
SMK Widya Patria 2,Jakarta Barat
SMK Wiyata Satya,Jakarta Barat
SMK Yadika 1 Jakarta,Jakarta Barat
SMK Yadika 2 Jakarta,Jakarta Barat
SMK Yadika 3 Jakarta,Jakarta Barat
SMK Yandika,Jakarta Barat
SMK YMIK Jakarta,Jakarta Barat
SMK 10 Nopember,Jakarta Selatan
SMK 17 Agustus 1945 2 Jakarta,Jakarta Selatan
SMK 28 Oktober 1928 1,Jakarta Selatan
SMK 28 Oktober 1928 2,Jakarta Selatan
SMK 3 Perguruan Cikini,Jakarta Selatan
SMK Al Fajar Jakarta,Jakarta Selatan
SMK Al Falah,Jakarta Selatan
SMK Al Hidayah 1 Jakarta,Jakarta Selatan
SMK Al Hidayah 2 Jakarta,Jakarta Selatan
SMK Al Hidayah Lestari,Jakarta Selatan
SMK Al Kautsar,Jakarta Selatan
SMK Al Makmur Jakarta,Jakarta Selatan
SMK Amaliyah,Jakarta Selatan
SMK An Nuriyah,Jakarta Selatan
SMK As Sa`adah,Jakarta Selatan
SMK As Syafi`iyah Jakarta,Jakarta Selatan
SMK Asisi,Jakarta Selatan
SMK Averus,Jakarta Selatan
SMK Bakti 17,Jakarta Selatan
SMK Bakti Idhata,Jakarta Selatan
SMK Bina Putra Jakarta,Jakarta Selatan
SMK Budi Asih,Jakarta Selatan
SMK Bunda Kandung Jakarta,Jakarta Selatan
SMK Cyber Media,Jakarta Selatan
SMK Daarul Uluum,Jakarta Selatan
SMK Daarussalaam Jakarta,Jakarta Selatan
SMK Dharma Karya,Jakarta Selatan
SMK Fatahillah,Jakarta Selatan
SMK Gapura Merah Putih,Jakarta Selatan
SMK Gita Kirtti 1 Jakarta,Jakarta Selatan
SMK Grafika Desa Putera Jakarta,Jakarta Selatan
SMK Grafika Yayasan Lektur,Jakarta Selatan
SMK Harnasto Institut Jakarta,Jakarta Selatan
SMK Hidatha Jakarta,Jakarta Selatan
SMK Islam Al Hikmah,Jakarta Selatan
SMK Islam Andalus,Jakarta Selatan
SMK Islam Wijaya Kusuma,Jakarta Selatan
SMK Islam YPS,Jakarta Selatan
SMK IT Aisyiyah,Jakarta Selatan
SMK Jagakarsa,Jakarta Selatan
SMK Jakarta Manajemen,Jakarta Selatan
SMK Jakarta Wisata 1,Jakarta Selatan
SMK Kahuripan 1 Jakarta,Jakarta Selatan
SMK Kartika X 2,Jakarta Selatan
SMK Karya Guna Jakarta,Jakarta Selatan
SMK Karya Teladan,Jakarta Selatan
SMK Keluarga Widuri,Jakarta Selatan
SMK Kemala Bhayangkari Delog,Jakarta Selatan
SMK Kesehatan Mulia Karya Husada,Jakarta Selatan
SMK Kesehatan Sekawan,Jakarta Selatan
SMK Kharismawita 1 Jakarta,Jakarta Selatan
SMK Kharismawita 2 Jakarta,Jakarta Selatan
SMK Krisanti,Jakarta Selatan
SMK LP3 Istana,Jakarta Selatan
SMK Makarya 1 Jakarta,Jakarta Selatan
SMK Makarya 2 Jakarta,Jakarta Selatan
SMK Media Informatika,Jakarta Selatan
SMK Miftahul Falah Jakarta,Jakarta Selatan
SMK Mitra Pembangunan,Jakarta Selatan
SMK Muhammadiyah 7 Jakarta,Jakarta Selatan
SMK Muhammadiyah 9 Jakarta,Jakarta Selatan
SMK Muhammadiyah 15 Jakarta,Jakarta Selatan
SMK Musik Perguruan Cikini,Jakarta Selatan
SMK Pandawa Budi Luhur Jakarta,Jakarta Selatan
SMK Pasar Minggu Jakarta,Jakarta Selatan
SMK Patria Wisata Jakarta,Jakarta Selatan
SMK Pembangunan Jaya Yakapi,Jakarta Selatan
SMK Perguruan Rakyat,Jakarta Selatan
SMK Perwira Jakarta,Jakarta Selatan
SMK PGRI 15 Jakarta,Jakarta Selatan
SMK PGRI 23 Jakarta,Jakarta Selatan
SMK PGRI 37 Jakarta,Jakarta Selatan
SMK Plus Al Musyarrofah,Jakarta Selatan
SMK Pondok Indah,Jakarta Selatan
SMK Purnama 1 Jakarta,Jakarta Selatan
SMK Purnama 2 Jakarta,Jakarta Selatan
SMK Purnama 3 Jakarta,Jakarta Selatan
SMK Puspita Persada,Jakarta Selatan
SMK Putra Satria,Jakarta Selatan
SMK RPI Jakarta,Jakarta Selatan
SMK Selagan Jaya,Jakarta Selatan
SMK Sumbangsih,Jakarta Selatan
SMK Tanjung Barat,Jakarta Selatan
SMK Tarakanita Jakarta,Jakarta Selatan
SMK Teladan,Jakarta Selatan
SMK Teladan Utama,Jakarta Selatan
SMK Tri Mulia Jakarta,Jakarta Selatan
SMK Triguna 1956,Jakarta Selatan
SMK Trikarya,Jakarta Selatan
SMK Tunas Grafika Informatika,Jakarta Selatan
SMK Tunas Pembangunan,Jakarta Selatan
SMK Walisongo Jakarta,Jakarta Selatan
SMK Wisata Indonesia,Jakarta Selatan
SMK Yanusa Jakarta,Jakarta Selatan
SMK Yapenap Jakarta,Jakarta Selatan
SMK Yapimda,Jakarta Selatan
SMK Yapri Jakarta,Jakarta Selatan
SMK Yasda,Jakarta Selatan
SMK Yaspen,Jakarta Selatan
SMK Yaspia,Jakarta Selatan
SMK YP Mulia,Jakarta Selatan
SMK YPK Kesatuan Jakarta,Jakarta Selatan
SMK YPUI Jakarta,Jakarta Selatan
SMK Adi Luhur Jakarta,Jakarta Timur
SMK Al Akhyar 1 Jakarta,Jakarta Timur
SMK Al Akhyar 2 Jakarta,Jakarta Timur
SMK Al Fathiyah Jakarta,Jakarta Timur
SMK Al Hadiriyah,Jakarta Timur
SMK Al Wahyu Jakarta,Jakarta Timur
SMK Al Washliyah Jakarta,Jakarta Timur
SMK Al Wathoniyah Jakarta,Jakarta Timur
SMK Analis Kesehatan Ditkesad,Jakarta Timur
SMK Analis Kesehatan Tunas Medika,Jakarta Timur
SMK Angkasa 1 Jakarta,Jakarta Timur
SMK Ankes Tunas Harapan,Jakarta Timur
SMK Ar Raisiyah Husada,Jakarta Timur
SMK As Saadah,Jakarta Timur
SMK As Syafiiyah 2,Jakarta Timur
SMK Atlantica Wisata Jakarta,Jakarta Timur
SMK Bhakti 1 Jakarta,Jakarta Timur
SMK Bhakti Pertiwi Jakarta,Jakarta Timur
SMK Bhumi Husada,Jakarta Timur
SMK Bina Citra Asia,Jakarta Timur
SMK Bina Dharma,Jakarta Timur
SMK Bina Karya Utama Jakarta,Jakarta Timur
SMK Bina Manajemen Jakarta,Jakarta Timur
SMK Bina Medika Jakarta,Jakarta Timur
SMK Bina Nusa Mandiri,Jakarta Timur
SMK Bina Pangudi Luhur Jakarta,Jakarta Timur
SMK Bina Pembangunan 1,Jakarta Timur
SMK Bina Prestasi,Jakarta Timur
SMK Bisnis Indonesia Jakarta,Jakarta Timur
SMK BPS&K 1 Jakarta,Jakarta Timur
SMK BPS&K 2 Jakarta,Jakarta Timur
SMK Budaya Jakarta,Jakarta Timur
SMK Budhi Warman 1 Jakarta,Jakarta Timur
SMK Budhi Warman 2 Jakarta,Jakarta Timur
SMK Budi Mulia Utama,Jakarta Timur
SMK Budi Murni 1 Jakarta,Jakarta Timur
SMK Budi Murni 3 Jakarta,Jakarta Timur
SMK Budi Murni 4 Jakarta,Jakarta Timur
SMK Budi Murni 5 Jakarta,Jakarta Timur
SMK Cahaya Sakti Jakarta,Jakarta Timur
SMK Caraka Nusantara,Jakarta Timur
SMK Cipta Karya Jakarta,Jakarta Timur
SMK Citra Dharma Jakarta,Jakarta Timur
SMK Citra Mandiri Jakarta,Jakarta Timur
SMK Corpatarin 1 Jakarta,Jakarta Timur
SMK Corpatarin 2 Jakarta,Jakarta Timur
SMK Dewi Sartika,Jakarta Timur
SMK Dharma Paramitha,Jakarta Timur
SMK Dharma Surya,Jakarta Timur
SMK Dinamika Pembangunan 1 Jakarta,Jakarta Timur
SMK Dinamika Pembangunan 2 Jakarta,Jakarta Timur
SMK Diponegoro 1 Jakarta,Jakarta Timur
SMK Era Pembangunan Umat Jakarta,Jakarta Timur
SMK Farmasi Ikifa,Jakarta Timur
SMK Fensensius Jakarta,Jakarta Timur
SMK Fransiskus 1 Jakarta,Jakarta Timur
SMK Garuda Jakarta,Jakarta Timur
SMK Gita Wisata,Jakarta Timur
SMK Global Cendekia,Jakarta Timur
SMK Gutama Jakarta,Jakarta Timur
SMK Harapan 1 Jakarta,Jakarta Timur
SMK Hatawana,Jakarta Timur
SMK IMTAQ Darurrahim Jakarta,Jakarta Timur
SMK Insan Mulia Informatika,Jakarta Timur
SMK Insan Teknologi Jakarta,Jakarta Timur
SMK IPTEK Jakarta,Jakarta Timur
SMK Islam Al Makiyah,Jakarta Timur
SMK Islam Malahayati,Jakarta Timur
SMK Islam PB Soedirman 1 Jakarta,Jakarta Timur
SMK Islam PB Soedirman 2 Jakarta,Jakarta Timur
SMK IT Assalaamah,Jakarta Timur
SMK Jakarta 1,Jakarta Timur
SMK Jakarta Raya 1,Jakarta Timur
SMK Jakarta Raya 2,Jakarta Timur
SMK Jakarta Timur 1,Jakarta Timur
SMK Jakarta Timur 2,Jakarta Timur
SMK Jayawisata 2 Jakarta,Jakarta Timur
SMK Kalpataru Cakung Jakarta,Jakarta Timur
SMK Karya Dharma 2 Jakarta,Jakarta Timur
SMK Karya Ekopin,Jakarta Timur
SMK Karya Wijaya Kusuma Jakarta,Jakarta Timur
SMK Kawula Indonesia,Jakarta Timur
SMK Kawula Jakarta,Jakarta Timur
SMK Kemala Bhayangkari 1 Jakarta,Jakarta Timur
SMK Kesdam Jaya,Jakarta Timur
SMK L`pina Jakarta,Jakarta Timur
SMK Laboratorium Jakarta,Jakarta Timur
SMK Mahadhika 1 Jakarta,Jakarta Timur
SMK Mahadhika 2 Jakarta,Jakarta Timur
SMK Mahadhika 3 Jakarta,Jakarta Timur
SMK Mahadhika 4 Jakarta,Jakarta Timur
SMK Malaka Jakarta,Jakarta Timur
SMK Mandala Tiara Bangsa,Jakarta Timur
SMK Mardhika,Jakarta Timur
SMK Mardi Bakti Jakarta,Jakarta Timur
SMK Medical High School,Jakarta Timur
SMK Mercusuar,Jakarta Timur
SMK Mitra Kencana Jakarta,Jakarta Timur
SMK Muara Indonesia Jakarta,Jakarta Timur
SMK Muhammadiyah 6 Jakarta,Jakarta Timur
SMK Multimedia Nusantara,Jakarta Timur
SMK Nasional Alfan,Jakarta Timur
SMK Nurul Huda,Jakarta Timur
SMK Nurul Iman Jakarta,Jakarta Timur
SMK Nurul Islam Jakarta,Jakarta Timur
SMK Nusantara Wisata Respati,Jakarta Timur
SMK Otomindo,Jakarta Timur
SMK Pancasila Jakarta,Jakarta Timur
SMK Pandawa,Jakarta Timur
SMK Pangudi Rahayu I Jakarta,Jakarta Timur
SMK Pangudi Rahayu II Jakarta,Jakarta Timur
SMK Paramitha 2 Jakarta,Jakarta Timur
SMK Paramitha Jakarta,Jakarta Timur
SMK Paskita Global,Jakarta Timur
SMK Pelayaran Bimasakti Jakarta,Jakarta Timur
SMK Pelayaran Dewaruci,Jakarta Timur
SMK Pelayaran Pembangunan Jakarta,Jakarta Timur
SMK Pelita Tiga No 1 Jakarta,Jakarta Timur
SMK Pembangunan,Jakarta Timur
SMK Perbankan Nasional Jakarta,Jakarta Timur
SMK Perdana Kusuma,Jakarta Timur
SMK Perguruan Rakyat 2,Jakarta Timur
SMK Pertiwi Jakarta,Jakarta Timur
SMK Petri Jaya,Jakarta Timur
SMK PGRI 1 Jakarta,Jakarta Timur
SMK PGRI 16 Jakarta,Jakarta Timur
SMK PGRI 20 Jakarta,Jakarta Timur
SMK PGRI 28 Jakarta,Jakarta Timur
SMK PGRI 39 Jakarta,Jakarta Timur
SMK PGRI 8 Jakarta,Jakarta Timur
SMK PKP 1 Jakarta,Jakarta Timur
SMK Prestasi Agung,Jakarta Timur
SMK Prestasi Prima,Jakarta Timur
SMK Pusaka 1 Jakarta,Jakarta Timur
SMK Rahayu Mulyo,Jakarta Timur
SMK Respati 1,Jakarta Timur
SMK Respati 2 Jakarta,Jakarta Timur
SMK Ristek Jaya Jakarta,Jakarta Timur
SMK Ristek Kikin Jakarta,Jakarta Timur
SMK Sahid Jakarta,Jakarta Timur
SMK Santa Lucia,Jakarta Timur
SMK Satya Bhakti 1 Jakarta,Jakarta Timur
SMK Satya Bhakti 2 Jakarta,Jakarta Timur
SMK Sriwijaya Jakarta,Jakarta Timur
SMK St Bonaventura Jakarta,Jakarta Timur
SMK Swadaya Global School,Jakarta Timur
SMK T Kapin Jakarta,Jakarta Timur
SMK Teknik 10 Nopember,Jakarta Timur
SMK Teratai Putih Jakarta,Jakarta Timur
SMK Tirta Sari Surya,Jakarta Timur
SMK Trampil Jakarta,Jakarta Timur
SMK Tri Sastra 1 Jakarta,Jakarta Timur
SMK Tri Sastra 2 Jakarta,Jakarta Timur
SMK Tunas Markatin,Jakarta Timur
SMK Uswatun Hasanah,Jakarta Timur
SMK Wawasan Nusantara Jakarta,Jakarta Timur
SMK Widya Manggala Jakarta,Jakarta Timur
SMK Yamas Jakarta,Jakarta Timur
SMK Yaspia 17,Jakarta Timur
SMK YP Darul Mukminin,Jakarta Timur
SMK YP IPPI Jakarta,Jakarta Timur
SMK YPIA Al Falah Jakarta,Jakarta Timur
MAK Unggulan Informatika,Jakarta Selatan
