Nama Komplek,Wilayah Jakarta
KOMPLEK CARINA SAYANG 1,Jakarta Utara
KOMPLEK CPM,Jakarta Selatan
KOMPLEK DEN ZIPUR 3,Jakarta Timur
KOMPLEK DEPARTEMEN AGAMA,Jakarta Barat
KOMPLEK DEPARTEMEN DALAM NEGERI,Jakarta Selatan
KOMPLEK DEPARTEMEN KESEHATAN (JOGLO),Jakarta Barat
KOMPLEK DEPARTEMEN KESEHATAN (SUNTER JAYA),Jakarta Utara
KOMPLEK DEPARTEMEN KEUANGAN (DUREN SAWIT),Jakarta Timur
KOMPLEK DEPARTEMEN KEUANGAN (MERUYA SELATAN),Jakarta Barat
KOMPLEK DEPARTEMEN LUAR NEGERI (CIPETE),Jakarta Selatan
KOMPLEK DEPARTEMEN LUAR NEGERI (GROGOL SELATAN),Jakarta Selatan
KOMPLEK DEPARTEMEN PENERANGAN,Jakarta Barat
KOMPLEK DEPARTEMEN PERDAGANGAN,Jakarta Timur
KOMPLEK DEPARTEMEN PERHUBUNGAN,Jakarta Timur
KOMPLEK DEPARTEMEN PERTANIAN,Jakarta Selatan
KOMPLEK DEPARTEMEN SOSIAL,Jakarta Timur
KOMPLEK DEPARTEMEN SOSIAL MARGAGUNA,Jakarta Selatan
KOMPLEK DEPDAGRI,Jakarta Timur
KOMPLEK DEPDAGRI,Jakarta Selatan
KOMPLEK DEPDIKBUD,Jakarta Selatan
KOMPLEK DEPERINDAH,Jakarta Utara
KOMPLEK DEPLU 25,Jakarta Selatan
KOMPLEK DIRGANTARA 1,Jakarta Timur
KOMPLEK DIRGANTARA 2,Jakarta Timur
KOMPLEK DIRGANTARA 3,Jakarta Timur
KOMPLEK DIRJEN ANGGARAN,Jakarta Timur
KOMPLEK DISKUM AD,Jakarta Timur
KOMPLEK DIT ZENI TNI AD,Jakarta Timur
KOMPLEK DITJEN KETENAGAAN,Jakarta Barat
KOMPLEK DITTOP TNI AD,Jakarta Pusat
KOMPLEK DKI,Jakarta Barat
KOMPLEK DOKTER,Jakarta Timur
KOMPLEK DOLOG JAYA,Jakarta Timur
KOMPLEK DOSEN TRISAKTI,Jakarta Barat
KOMPLEK DPA (MERUYA SELATAN),Jakarta Barat
KOMPLEK DPA (PALMERAH),Jakarta Barat
KOMPLEK DPK SEMPER BARU,Jakarta Utara
KOMPLEK DPR JOGLO,Jakarta Barat
KOMPLEK DPR KEMANGGISAN,Jakarta Barat
KOMPLEK DUREN SAWIT BARU,Jakarta Timur
