RS Antam Medika,Jakarta Timur
RS Bedah Rawamangun,Jakarta Timur
RS Bhayangkara Raden Said Sukanto,Jakarta Timur
RS Bina Waluya,Jakarta Timur
RS Columbia Asia Pulomas,Jakarta Timur
RS Dharma Nugraha,Jakarta Timur
RS dr. Esnawan Antariksa,Jakarta Timur
RS dr. Euis,Jakarta Timur
RS Duren Sawit,Jakarta Timur
RS Haji Jakarta,Jakarta Timur
RS Harapan Bunda,Jakarta Timur
RS Harapan Jayakarta,Jakarta Timur
RS Harum Sisma Medika,Jakarta Timur
RS Hermina Jatinegara,Jakarta Timur
RS Islam Jakarta Pondokkopi,Jakarta Timur
RS Islam Klender,Jakarta Timur
RS Jantung Jakarta,Jakarta Timur
RS Kartika Pulomas,Jakarta Timur
RS Kesdam Jaya,Jakarta Timur
RS Ketergantungan Obat,Jakarta Timur
RS Mediros,Jakarta Timur
RS Ridwan Meuraksa,Jakarta Timur
RS Olahraga Nasional,Jakarta Timur
RS Omni Pulomas,Jakarta Timur
RS Pengayoman Cipinang,Jakarta Timur
RS Premier Jatinegara,Jakarta Timur
RSPON dr. Mahar Mardjono,Jakarta Timur
RS Pusdikkes,Jakarta Timur
RS SMEC Jakarta,Jakarta Timur
RS Universitas Kristen Indonesia,Jakarta Timur
RS Yadika Pondokbambu,Jakarta Timur
RSIA Alvernia Agusta,Jakarta Timur
RSIA Bunda Aliyah Pondokbambu,Jakarta Timur
RSIA El-Shama,Jakarta Timur
RSIA Restu Kasih,Jakarta Timur
RSIA Sammrie Basra,Jakarta Timur
RSIA Sayyida,Jakarta Timur
RSUP Persahabatan,Jakarta Timur
RSUD Cilincing,Jakarta Utara
RSUD Koja,Jakarta Utara
RSUD Pademangan,Jakarta Utara
RSUD Tanjungpriok,Jakarta Utara
RSUD Tugu Koja,Jakarta Utara
RS Atma Jaya,Jakarta Utara
RS Darurat Wisma Atlet,Jakarta Utara
RS Duta Indah,Jakarta Utara
RS Hermina Podomoro,Jakarta Utara
RS Islam Jakarta Sukapura,Jakarta Utara
