KodePos,Kelurahan,Kecamatan,KotaKabupaten,Provinsi
14540,Pulau Kelapa,Kepulauan Seribu Utara,Kabupaten Kepulauan Seribu,DKI Jakarta
14530,Pulau Panggang,Kepulauan Seribu Utara,Kabupaten Kepulauan Seribu,DKI Jakarta
14520,Pulau Pari,Kepulauan Seribu Selatan.,Kabupaten Kepulauan Seribu,DKI Jakarta
14520,Pulau Tidung,Kepulauan Seribu Selatan.,Kabupaten Kepulauan Seribu,DKI Jakarta
14510,Pulau Untung Jawa,Kepulauan Seribu Selatan.,Kabupaten Kepulauan Seribu,DKI Jakarta
12160,Pulo,Kebayoran Baru,Kota Jakarta Selatan,DKI Jakarta
13260,Pulo Gadung,Pulogadung,Kota Jakarta Timur,DKI Jakarta
13950,Pulo Gebang,Cakung,Kota Jakarta Timur,DKI Jakarta
12550,Ragunan,Pasar Minggu,Kota Jakarta Selatan,DKI Jakarta
13830,Rambutan,Ciracas,Kota Jakarta Timur,DKI Jakarta
14230,Rawa Badak Selatan,Koja,Kota Jakarta Utara,DKI Jakarta
14230,Rawa Badak Utara,Koja,Kota Jakarta Utara,DKI Jakarta
12180,Rawa Barat,Kebayoran Baru,Kota Jakarta Selatan,DKI Jakarta
11740,Rawa Buaya,Cengkareng,Kota Jakarta Barat,DKI Jakarta
13350,Rawa Bunga,Jatinegara,Kota Jakarta Timur,DKI Jakarta
13920,Rawa Terate,Cakung,Kota Jakarta Timur,DKI Jakarta
12750,Rawajati,Pancoran,Kota Jakarta Selatan,DKI Jakarta
13220,Rawamangun,Pulogadung,Kota Jakarta Timur,DKI Jakarta
10570,Rawasari,Cempaka Putih,Kota Jakarta Pusat,DKI Jakarta
11230,Roa Malaka,Tambora,Kota Jakarta Barat,DKI Jakarta
14140,Rorotan,Cilincing,Kota Jakarta Utara,DKI Jakarta
12110,Selong,Kebayoran Baru,Kota Jakarta Selatan,DKI Jakarta
11850,Semanan,Kalideres,Kota Jakarta Barat,DKI Jakarta
14130,Semper Barat,Cilincing,Kota Jakarta Utara,DKI Jakarta
14130,Semper Timur,Cilincing,Kota Jakarta Utara,DKI Jakarta
12190,Senayan,Kebayoran Baru,Kota Jakarta Selatan,DKI Jakarta
10410,Senen,Senen,Kota Jakarta Pusat,DKI Jakarta
10650,Serdang,Kemayoran,Kota Jakarta Pusat,DKI Jakarta
12910,Setia Budi,Setiabudi,Kota Jakarta Selatan,DKI Jakarta
13880,Setu,Cipayung,Kota Jakarta Timur,DKI Jakarta
11410,Slipi,Pal Merah,Kota Jakarta Barat,DKI Jakarta
11630,Srengseng,Kembangan,Kota Jakarta Barat,DKI Jakarta
12640,Srengseng Sawah,Jagakarsa,Kota Jakarta Selatan,DKI Jakarta
11560,Sukabumi Selatan,Kebon Jeruk,Kota Jakarta Barat,DKI Jakarta
11540,Sukabumi Utara,Kebon Jeruk,Kota Jakarta Barat,DKI Jakarta
14140,Sukapura,Cilincing,Kota Jakarta Utara,DKI Jakarta
10640,Sumur Batu,Kemayoran,Kota Jakarta Pusat,DKI Jakarta
14330,Sungai Bambu,Tanjung Priok,Kota Jakarta Utara,DKI Jakarta
14350,Sunter Agung,Tanjung Priok,Kota Jakarta Utara,DKI Jakarta
14360,Sunter Jaya,Tanjung Priok,Kota Jakarta Utara,DKI Jakarta
13750,Susukan,Ciracas,Kota Jakarta Timur,DKI Jakarta
11150,Taman Sari,Taman Sari,Kota Jakarta Barat,DKI Jakarta
11220,Tambora,Tambora,Kota Jakarta Barat,DKI Jakarta
11210,Tanah Sereal,Tambora,Kota Jakarta Barat,DKI Jakarta
10540,Tanah Tinggi,Johar Baru,Kota Jakarta Pusat,DKI Jakarta
11170,Tangki,Taman Sari,Kota Jakarta Barat,DKI Jakarta
12530,Tanjung Barat,Jagakarsa,Kota Jakarta Selatan,DKI Jakarta
11470,Tanjung Duren Selatan,Grogol Petamburan,Kota Jakarta Barat,DKI Jakarta
11470,Tanjung Duren Utara,Grogol Petamburan,Kota Jakarta Barat,DKI Jakarta
14310,Tanjung Priok,Tanjung Priok,Kota Jakarta Utara,DKI Jakarta
12810,Tebet Barat,Tebet,Kota Jakarta Selatan,DKI Jakarta
12820,Tebet Timur,Tebet,Kota Jakarta Selatan,DKI Jakarta
11820,Tegal Alur,Kalideres,Kota Jakarta Barat,DKI Jakarta
12790,Tegal Parang,Mampang Prapatan,Kota Jakarta Selatan,DKI Jakarta
13540,Tengah,Kramatjati,Kota Jakarta Timur,DKI Jakarta
11440,Tomang,Grogol Petamburan,Kota Jakarta Barat,DKI Jakarta
14260,Tugu Selatan,Koja,Kota Jakarta Utara,DKI Jakarta
14260,Tugu Utara,Koja,Kota Jakarta Utara,DKI Jakarta
13960,Ujung Menteng,Cakung,Kota Jakarta Timur,DKI Jakarta
12250,Ulujami,Pesanggrahan,Kota Jakarta Selatan,DKI Jakarta
13120,Utan Kayu Selatan,Matraman,Kota Jakarta Timur,DKI Jakarta
13120,Utan Kayu Utara,Matraman,Kota Jakarta Timur,DKI Jakarta
10650,Utan Panjang,Kemayoran,Kota Jakarta Pusat,DKI Jakarta
14370,Warakas,Tanjung Priok,Kota Jakarta Utara,DKI Jakarta
11460,Wijaya Kusuma,Grogol Petamburan,Kota Jakarta Barat,DKI Jakarta
