nama_kampus
Universitas 17 Agustus 1945 Jakarta (UNTAG)
Universitas Agung Podomoro 
Universitas Al Azhar Indonesia (UAI)
Universitas Azzahra 
Universitas Bakrie (UB)
Universitas Bhayangkara Jakarta Raya (UBHARA JAYA)
Universitas Bina Nusantara (UBINUS)
Universitas Binawan 
Universitas Borobudur 
Universitas Budi Luhur (UBL)
Universitas Bunda Mulia (UBM)
Universitas Bung Karno (UBK)
Universitas Darma Persada (UNSADA)
Universitas Darunnajah (UDN)
Universitas Dian Nusantara (UNDIRA)
Universitas Dirgantara Marsekal Suryadarma (UNSURYA)
Universitas Esa Unggul (UEU)
Universitas Ibnu Chaldun (UIC)
Universitas Indonesia Maju 
Universitas Indraprasta PGRI (UNINDRA)
Universitas Insan Cita Indonesia (UICI)
Universitas Islam Jakarta (UID)
Universitas Jakarta 
Universitas Jayabaya 
Universitas Katolik Indonesia Atma Jaya 
Universitas Kristen Indonesia (UKI)
Universitas Kristen Krida Wacana (UKRIDA)
Universitas Media Nusantara Citra (MNCU)
Universitas Mercu Buana (UMB)
Universitas Mpu Tantular (UMT)
Universitas Muhammadiyah Prof. Dr. HAMKA (UHAMKA)
Universitas MH Thamrin Jakarta (UMHT)
Universitas Nahdlatul Ulama Indonesia (UNUSIA)
Universitas Nasional (UNAS)
Universitas Nusa Mandiri 
Universitas Pancasila (UP)
Universitas Paramadina (UPM)
Universitas Persada Indonesia Yayasan Administrasi Indonesia (UPI Y.A.I)
Universitas Pertamina 
Universitas Prasetiya Mulya 
Universitas Prof Dr Moestopo (Beragama) (UPDM)
Universitas Respati Indonesia (URINDO)
Universitas Sahid (USAHID)
Universitas Saintek Muhammadiyah 
Universitas Sampoerna 
Universitas Satya Negara Indonesia (USNI)
Universitas Satyagama (USG)
Universitas Siber Asia (UNSIA)
Universitas Surapati 
Universitas Tama Jagakarsa (UTJ)
Universitas Tanri Abeng (TAU)
Universitas Tarumanagara (UNTAR)
Universitas Teknologi Muhammadiyah Jakarta 
Universitas Trilogi 
Universitas Trisakti 
Universitas Wiraswasta Indonesia 
Universitas YARSI 
Universitas Telkom Jakarta 
Institut Bisnis dan Informatika Kosgoro 1957
Institut Bisnis dan Informatika Indonesia
Institut Bisnis Nusantara
Institut Ilmu Sosial dan Ilmu Politik Jakarta
Institut Ilmu Sosial dan Manajemen STIAMI
Institut Kalbis (KALBIS)
Institut Kesenian Jakarta (IKJ)
Institut Keuangan Perbankan dan Informatika Asia Perbanas (AFBI Institute Perbanas)
Institut Sains dan Teknologi Al-Kamal (ISTA)
Institut Sains dan Teknologi Nasional (ISTN)
Institut Teknologi dan Bisnis BRI (BRI Institute )
Institut Teknologi dan Bisnis Kalbe (ITBK)
Institut Teknologi Budi Utomo (ITBU)
Institut Teknologi Kartika Candra (ITKC)
Institut Transportasi dan Logistik Trisakti (ITL Trisakti)
Indonesia International Institute for Life Sciences
ESMOD International Fashion Institutes & Universities
Institut teknologi telkom jakarta
Sekolah Tinggi Manajemen Pariwisata dan Logistik Lentera Mondial (Lemondial Business School)
Sekolah Tinggi Ilmu Ekonomi Media Nusantara Citra
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Media Nusantara Citra 
Sekolah Tinggi Agama Buddha Dutavira
Sekolah Tinggi Agama Buddha Maha Prajna
Sekolah Tinggi Agama Buddha Nalanda 
Sekolah Tinggi Agama Islam Acprilesma Indonesia
Sekolah Tinggi Bahasa Asing IEC
Sekolah Tinggi Bahasa Asing Indonesia LPI
Sekolah Tinggi Bahasa Asing LIA
Sekolah Tinggi Bahasa Asing Pertiwi Indonesia
Sekolah Tinggi Filsafat Driyarkara
Sekolah Tinggi Filsafat Theologi
