name,wilayah,category
One Casablanca,Jakarta Selatan,apartemen
Gardenia Boulevard,Jakarta Selatan,apartemen
Rusun Benhil,Jakarta Pusat,apartemen
Permata Hijau,Jakarta Selatan,apartemen
Pondok Klub Villa,Jakarta Selatan,apartemen
Kebayoran Icon,Jakarta Selatan,apartemen
Nifarro Park,Jakarta Selatan,apartemen
Sinabung Executive,Jakarta Selatan,apartemen
Woodland Park Residence,Jakarta Selatan,apartemen
Mangkuluhur City,Jakarta Selatan,apartemen
The Alana Pejaten,Jakarta Selatan,apartemen
Lebak Lestari Garden,Jakarta Selatan,apartemen
Daksa Residence,Jakarta Selatan,apartemen
Peruri 88,Jakarta Selatan,apartemen
LA City,Jakarta Selatan,apartemen
Synthesis Residence Kemang,Jakarta Selatan,apartemen
Marbella Kemang,Jakarta Selatan,apartemen
Vasaka Solterra,Jakarta Selatan,apartemen
Lexington Residence,Jakarta Selatan,apartemen
The Royal Olive Residence,Jakarta Selatan,apartemen
Poins Square,Jakarta Selatan,apartemen
The 18th Residence Rasuna,Jakarta Selatan,apartemen
The Residence @ Synthesis Square,Jakarta Selatan,apartemen
Gandaria Heights,Jakarta Selatan,apartemen
Kemang Village,Jakarta Selatan,apartemen
Providence Park,Jakarta Selatan,apartemen
Gayanti City,Jakarta Selatan,apartemen
Pakubuwono Terrace,Jakarta Selatan,apartemen
Grand Pancoran,Jakarta Selatan,apartemen
Hamptons Park,Jakarta Selatan,apartemen
The Hundred,Jakarta Selatan,apartemen
Apartemen Senopati,Jakarta Selatan,apartemen
Langham Residence,Jakarta Selatan,apartemen
Raffles Residence,Jakarta Selatan,apartemen
Nirvana Residence Kemang,Jakarta Selatan,apartemen
Sahid Metropolitan,Jakarta Selatan,apartemen
SCBD Suites,Jakarta Selatan,apartemen
Branz Simatupang,Jakarta Selatan,apartemen
The Peak,Jakarta Selatan,apartemen
Pakubuwono View,Jakarta Selatan,apartemen
Simprug Indah,Jakarta Selatan,apartemen
Simprug Terrace,Jakarta Selatan,apartemen
Airlangga Ritz Carlton,Jakarta Selatan,apartemen
Senayan Residence,Jakarta Selatan,apartemen
Pakubuwono Spring,Jakarta Selatan,apartemen
Plaza Senayan,Jakarta Pusat,apartemen
Somerset Berlian,Jakarta Selatan,apartemen
Pondok Indah Residences,Jakarta Selatan,apartemen
1Park Residences,Jakarta Selatan,apartemen
Capital Residence,Jakarta Selatan,apartemen
Gateway Pesanggrahan,Jakarta Selatan,apartemen
Oakwood,Jakarta Selatan,apartemen
Pondok Indah Golf Apartment,Jakarta Selatan,apartemen
Setiabudi Sky Garden,Jakarta Selatan,apartemen
Verde,Jakarta Selatan,apartemen
Verde 2,Jakarta Selatan,apartemen
Golfhill Terraces,Jakarta Selatan,apartemen
Senopati Suites,Jakarta Selatan,apartemen
Apple Residence,Jakarta Selatan,apartemen
Residence 8 Senopati,Jakarta Selatan,apartemen
Essence on Darmawangsa,Jakarta Selatan,apartemen
L'Avenue,Jakarta Selatan,apartemen
SOHO Pancoran,Jakarta Selatan,apartemen
Arzuria,Jakarta Selatan,apartemen
fX Residence,Jakarta Pusat,apartemen
Fatmawati City Center,Jakarta Selatan,apartemen
Apartemen Ambassador,Jakarta Selatan,apartemen
Signature Park Apartment,Jakarta Selatan,apartemen
Somerset Grand Citra Kuningan,Jakarta Selatan,apartemen
Somerset Kencana,Jakarta Selatan,apartemen
Puri Imperium,Jakarta Selatan,apartemen
The Kencana Residence,Jakarta Selatan,apartemen
Bellezza,Jakarta Selatan,apartemen
Pakubuwono Residence,Jakarta Selatan,apartemen
Permata Gandaria,Jakarta Selatan,apartemen
Sailendra,Jakarta Selatan,apartemen
Izzara,Jakarta Selatan,apartemen
Selatan 8,Jakarta Selatan,apartemen
Southgate Residence,Jakarta Selatan,apartemen
Dharmawangsa Residence,Jakarta Selatan,apartemen
District 8,Jakarta Selatan,apartemen
Pacific Place,Jakarta Selatan,apartemen
South Quarter,Jakarta Selatan,apartemen
The Stay Antasari 27,Jakarta Selatan,apartemen
Brawijaya,Jakarta Selatan,apartemen
The Aspen Residence,Jakarta Selatan,apartemen
Newton Ciputra World,Jakarta Selatan,apartemen
La Maison,Jakarta Selatan,apartemen
Nine Residence,Jakarta Selatan,apartemen
Havenwood Residence,Jakarta Selatan,apartemen
Lavish Kemang Residence,Jakarta Selatan,apartemen
Ciputra World,Jakarta Selatan,apartemen
Purnawarman Executive Mansion,Jakarta Selatan,apartemen
Regent Residences,Jakarta Selatan,apartemen
The St. Regis Residences,Jakarta Selatan,apartemen
Permata Senayan,Jakarta Selatan,apartemen
Galleria Court Condominium,Jakarta Selatan,apartemen
Bellevue Place,Jakarta Selatan,apartemen
Aston Rasuna,Jakarta Selatan,apartemen
Podomoro Park,Jakarta Timur,apartemen
Urban Signature,Jakarta Timur,apartemen
Menara Cawang,Jakarta Timur,apartemen
Casablanca East Residence,Jakarta Timur,apartemen
Bassura City,Jakarta Timur,apartemen
TheHive Taman Sari,Jakarta Timur,apartemen
Pondok Kelapa Village,Jakarta Timur,apartemen
Tamansari Skyhive Apartment,Jakarta Timur,apartemen
MT Haryono Square,Jakarta Timur,apartemen
Citralandmark,Jakarta Timur,apartemen
Taman Pasadenia,Jakarta Timur,apartemen
East Park,Jakarta Timur,apartemen
Titanium Square,Jakarta Timur,apartemen
The Sahid Asena,Jakarta Timur,apartemen
Cibubur Comfort,Jakarta Timur,apartemen
Patria Park,Jakarta Timur,apartemen
Signature Park Grande,Jakarta Timur,apartemen
MT Haryono Residence,Jakarta Timur,apartemen
Delta Cakung,Jakarta Timur,apartemen
The Hive Cawang,Jakarta Timur,apartemen
Core Sky Residence,Jakarta Timur,apartemen
Callia,Jakarta Timur,apartemen
Prajawangsa City,Jakarta Timur,apartemen
Sentra Timur Residence,Jakarta Timur,apartemen
Cibubur Village,Jakarta Timur,apartemen
Oak Tower,Jakarta Timur,apartemen
The H Residence,Jakarta Timur,apartemen
Bintara Residence,Jakarta Timur,apartemen
East 8,Jakarta Timur,apartemen
Jakarta Living Star,Jakarta Timur,apartemen
Tifolia,Jakarta Utara,apartemen
Citra Living,Jakarta Barat,apartemen
Puri Orchard,Jakarta Barat,apartemen
Aerium Residence,Jakarta Barat,apartemen
Wang Residence,Jakarta Barat,apartemen
Wesling Kedoya,Jakarta Barat,apartemen
Vittoria Residence,Jakarta Barat,apartemen
Rusun Tanah Abang,Jakarta Pusat,apartemen
Paradise Mansion,Jakarta Barat,apartemen
Gianetti,Jakarta Barat,apartemen
Veranda Residence @Puri,Jakarta Barat,apartemen
Metro Park Residence,Jakarta Barat,apartemen
Grand Tropic,Jakarta Barat,apartemen
Kedoya Elok,Jakarta Barat,apartemen
Centro City Residence,Jakarta Barat,apartemen
19 Avenue,Jakarta Barat,apartemen
Ciputra International Puri,Jakarta Barat,apartemen
Maqna Residence,Jakarta Barat,apartemen
Mediterania Gajah Mada,Jakarta Barat,apartemen
Green Parkview,Jakarta Barat,apartemen
Grand Palm Residence,Jakarta Barat,apartemen
City Park,Jakarta Barat,apartemen
Stars Residence,Jakarta Barat,apartemen
Gallery West Residence,Jakarta Barat,apartemen
Permata Eksekutif,Jakarta Barat,apartemen
Puri Mansion,Jakarta Barat,apartemen
D'Lofts,Jakarta Barat,apartemen
Mediterania Tanjung Duren,Jakarta Barat,apartemen
Taman Anggrek,Jakarta Barat,apartemen
St Moritz,Jakarta Barat,apartemen
Menara Latumenten,Jakarta Barat,apartemen
Central Park,Jakarta Barat,apartemen
Royal Mediterania Garden,Jakarta Barat,apartemen
GP Plaza,Jakarta Barat,apartemen
Slipi,Jakarta Barat,apartemen
Taman Anggrek Residences,Jakarta Barat,apartemen
Grand Madison,Jakarta Barat,apartemen
Satu8 Residence,Jakarta Barat,apartemen
Citra Garden City,Jakarta Barat,apartemen
Seasons City,Jakarta Barat,apartemen
Green Sedayu,Jakarta Barat,apartemen
Belmont Residence,Jakarta Barat,apartemen
Metro Park Residences,Jakarta Barat,apartemen
Madison Park,Jakarta Barat,apartemen
Puri Park Residence,Jakarta Barat,apartemen
