name,wilayah,category
Pacific Place Residences West Tower,Jakarta Selatan,gedung_tinggi
The St Moritz Presidential Suite Tower 1,Jakarta Barat,gedung_tinggi
Anandamaya Residences 2,Jakarta Pusat,gedung_tinggi
Anandamaya Residences 3,Jakarta Pusat,gedung_tinggi
The Orchard Satrio,Jakarta Selatan,gedung_tinggi
The Residence Satrio,Jakarta Selatan,gedung_tinggi
Menara Kadin Indonesia,Jakarta Selatan,gedung_tinggi
Central Park Office Tower,Jakarta Barat,gedung_tinggi
Botanica Apartment II & III,Jakarta Selatan,gedung_tinggi
The St Moritz Presidential Suite Tower 2,Jakarta Barat,gedung_tinggi
The Cosmopolitan Tower,Jakarta Selatan,gedung_tinggi
The Bloomington,Jakarta Selatan,gedung_tinggi
The Tiffany,Jakarta Selatan,gedung_tinggi
Sky Tower,Jakarta Selatan,gedung_tinggi
Aston Hotel Jakarta 1,Jakarta Pusat,gedung_tinggi
Ancol Mansion 1,Jakarta Utara,gedung_tinggi
Ancol Mansion 2,Jakarta Utara,gedung_tinggi
Sopo Del Tower A,Jakarta Selatan,gedung_tinggi
Centennial Tower,Jakarta Selatan,gedung_tinggi
City Lofts,Jakarta Pusat,gedung_tinggi
AIA Central,Jakarta Pusat,gedung_tinggi
The Grove Tower 1,Jakarta Selatan,gedung_tinggi
Office 8,Jakarta Selatan,gedung_tinggi
Plaza BII Tower II,Jakarta Pusat,gedung_tinggi
World Trade Center Tower II,Jakarta Selatan,gedung_tinggi
Botanica Apartment Tower I,Jakarta Selatan,gedung_tinggi
Lacewood Tower,Jakarta Selatan,gedung_tinggi
The St Moritz Office Tower 1,Jakarta Barat,gedung_tinggi
Sudirman Square Tower A,Jakarta Selatan,gedung_tinggi
Cyber 2 Tower,Jakarta Selatan,gedung_tinggi
Indofood Tower,Jakarta Pusat,gedung_tinggi
Mid Plaza Hotel Tower,Jakarta Pusat,gedung_tinggi
Menara BRI Gatot Subroto,Jakarta Selatan,gedung_tinggi
Mangkuluhur City Office Tower One,Jakarta Selatan,gedung_tinggi
Taman Anggrek (I–VIII),Jakarta Barat,gedung_tinggi
Menara BNI,Jakarta Pusat,gedung_tinggi
Dukuh Golf Apartment Tower (1–4),Jakarta Timur,gedung_tinggi
Kemayoran Office Tower (1–3),Jakarta Pusat,gedung_tinggi
Royal Springfield Residence (5–6),Jakarta Barat,gedung_tinggi
Lotus,Jakarta Barat,gedung_tinggi
Lavender,Jakarta Barat,gedung_tinggi
Magnolia,Jakarta Barat,gedung_tinggi
Marygold,Jakarta Barat,gedung_tinggi
Aston Hotel Jakarta II,Jakarta Pusat,gedung_tinggi
ITC Kuningan,Jakarta Selatan,gedung_tinggi
The City Tower,Jakarta Pusat,gedung_tinggi
Fairmont Hotel,Jakarta Pusat,gedung_tinggi
Multivision Tower,Jakarta Selatan,gedung_tinggi
Alam Lestari,Jakarta Pusat,kompleks
Asrama Brimob Jatinegara Kaum,Jakarta Timur,kompleks
Asrama Polisi Pesing,Jakarta Barat,kompleks
Asrama Zeni TNI AD Lubang Buaya,Jakarta Timur,kompleks
B21 Jl. Vila,Jakarta Selatan,kompleks
Bali Village,Jakarta Selatan,kompleks
Billy & Moon,Jakarta Timur,kompleks
Buaran Regency,Jakarta Timur,kompleks
Buaran Regensi,Jakarta Timur,kompleks
Bukit Duri Permai,Jakarta Timur,kompleks
Bukit Gading Mediterania,Jakarta Utara,kompleks
Bukit Gading Villa,Jakarta Utara,kompleks
Bukit Golf,Jakarta Utara,kompleks
Bukit Golf Mediterania PIK,Jakarta Utara,kompleks
Bukit Golf Pondok Indah,Jakarta Selatan,kompleks
Bukit Inkai,Jakarta Selatan,kompleks
Bukit Pratama,Jakarta Selatan,kompleks
Bumi Cengkareng Permai,Jakarta Barat,kompleks
Bumi Harapan Permai,Jakarta Timur,kompleks
Bumi Harum Manis,Jakarta Selatan,kompleks
Bumi Kemanggisan Indah,Jakarta Barat,kompleks
Bumi Malaka Asri,Jakarta Timur,kompleks
Bumi Pesanggrahan Mas,Jakarta Selatan,kompleks
Buncit Town House,Jakarta Selatan,kompleks
Casamora,Jakarta Selatan,kompleks
Cengkareng Residence,Jakarta Barat,kompleks
Cilandak Permai,Jakarta Selatan,kompleks
Cilandak Town House,Jakarta Selatan,kompleks
Cipinang Indah,Jakarta Timur,kompleks
Cipinang Indah 2,Jakarta Timur,kompleks
Citra Garden 1,Jakarta Barat,kompleks
Citra Garden 2,Jakarta Barat,kompleks
Citra Garden 3,Jakarta Barat,kompleks
Citra Garden 5,Jakarta Barat,kompleks
Daan Mogot Estate,Jakarta Barat,kompleks
Damai Town House,Jakarta Timur,kompleks
De Oaze Tomang Residence,Jakarta Barat,kompleks
Duri Besar,Jakarta Barat,kompleks
Duta Harapan Indah,Jakarta Utara,kompleks
Flat Rumah Dinas Bank Indonesia,Jakarta Selatan,kompleks
Gading Eight Residence,Jakarta Utara,kompleks
Gading Grande Residences,Jakarta Utara,kompleks
Gading Griya Lestari,Jakarta Utara,kompleks
Gading Kusuma,Jakarta Utara,kompleks
Gading Nirwana,Jakarta Utara,kompleks
Gading Park View,Jakarta Utara,kompleks
Gading Riviera,Jakarta Utara,kompleks
Gedong Asri,Jakarta Timur,kompleks
Grand Matoa,Jakarta Selatan,kompleks
Green Garden,Jakarta Barat,kompleks
Green Garden Rorotan,Jakarta Utara,kompleks
Green Garden Town House,Jakarta Barat,kompleks
Green Park,Jakarta Timur,kompleks
Griya Aquila,Jakarta Selatan,kompleks
Griya Sunter Pratama,Jakarta Utara,kompleks
Griya Sutra Jatipadang,Jakarta Selatan,kompleks
Harris Residence,Jakarta Timur,kompleks
IKIP Komplek Duren Sawit,Jakarta Timur,kompleks
Intan Town House,Jakarta Selatan,kompleks
Jamrud Town House,Jakarta Timur,kompleks
Janur Elok (Kelapa Gading Permai),Jakarta Utara,kompleks
Jati Indah Resort,Jakarta Selatan,kompleks
Jati Padang Residence,Jakarta Selatan,kompleks
Jatinegara Baru,Jakarta Timur,kompleks
Jatipadang Estate,Jakarta Selatan,kompleks
Kalideres Permai,Jakarta Barat,kompleks
Karang Indah,Jakarta Utara,kompleks
Karang Molek,Jakarta Utara,kompleks
Kavling DPRD,Jakarta Selatan,kompleks
Kavling Jatipadang,Jakarta Selatan,kompleks
Kavling Semper,Jakarta Utara,kompleks
Kawasan Departemen Kesehatan,Jakarta Pusat,kompleks
Kebon Jeruk Baru,Jakarta Barat,kompleks
Kebon Jeruk Indah,Jakarta Barat,kompleks
Kebon Jeruk Permai,Jakarta Barat,kompleks
Kedoya Garden,Jakarta Barat,kompleks
Kedoya Permai,Jakarta Barat,kompleks
Kelapa Gading Griya,Jakarta Utara,kompleks
Kelapa Gading Pratama,Jakarta Utara,kompleks
Kemang Indah,Jakarta Selatan,kompleks
Kemang Village,Jakarta Selatan,kompleks
Kemanggisan Indah,Jakarta Barat,kompleks
Kemayoran Villa,Jakarta Pusat,kompleks
Kesatrian Marinir Cilandak,Jakarta Selatan,kompleks
Klingkit Permai,Jakarta Barat,kompleks
Komplek Depkeu,Jakarta Timur,kompleks
Komplek Rindam Jaya,Jakarta Timur,kompleks
Komplek Perwira Mabad,Jakarta Barat,kompleks
Komplek Agraria,Jakarta Selatan,kompleks
Komplek Airud,Jakarta Utara,kompleks
Komplek Akabri,Jakarta Selatan,kompleks
Komplek Alamanda,Jakarta Selatan,kompleks
Komplek Ambon,Jakarta Barat,kompleks
Komplek Anggaran,Jakarta Selatan,kompleks
Komplek Anggota PWI,Jakarta Timur,kompleks
Komplek Angkasa Pura,Jakarta Pusat,kompleks
KOMPLEK ANGKATAN LAUT,Jakarta Pusat,kompleks
KOMPLEK BABEK TNI AD,Jakarta Utara,kompleks
KOMPLEK BAKN,Jakarta Pusat,kompleks
KOMPLEK BANGUN CIPTASARANA,Jakarta Timur,kompleks
KOMPLEK BANK INDONESIA (JATIPADANG),Jakarta Selatan,kompleks
KOMPLEK BANK INDONESIA (KEMANGGISAN),Jakarta Barat,kompleks
KOMPLEK BANK INDONESIA (MENTENG ATAS),Jakarta Selatan,kompleks
KOMPLEK BANK INDONESIA (MENTENG DALAM),Jakarta Selatan,kompleks
KOMPLEK BANK INDONESIA (PASAR MINGGU),Jakarta Selatan,kompleks
KOMPLEK BANK MANDIRI,Jakarta Selatan,kompleks
KOMPLEK BAPPENAS,Jakarta Selatan,kompleks
KOMPLEK BAPPENAS 1,Jakarta Selatan,kompleks
KOMPLEK BATAN,Jakarta Selatan,kompleks
KOMPLEK BATU KRAMAT,Jakarta Timur,kompleks
KOMPLEK BATU SARI,Jakarta Barat,kompleks
KOMPLEK BBD,Jakarta Selatan,kompleks
KOMPLEK BBD (CIGANJUR),Jakarta Selatan,kompleks
KOMPLEK BDN,Jakarta Barat,kompleks
KOMPLEK BEA CUKAI,Jakarta Timur,kompleks
KOMPLEK BEA CUKAI (PASAR MINGGU),Jakarta Selatan,kompleks
KOMPLEK BEA CUKAI (SUKAPURA),Jakarta Utara,kompleks
KOMPLEK BERMIS,Jakarta Utara,kompleks
KOMPLEK BIN,Jakarta Selatan,kompleks
KOMPLEK BINAMARGA (CIPAYUNG),Jakarta Timur,kompleks
KOMPLEK BINAMARGA (KEBAYORAN LAMA SELATAN),Jakarta Selatan,kompleks
KOMPLEK BINAMARGA (PONDOK KELAPA),Jakarta Timur,kompleks
KOMPLEK BINAMARGA (PONDOK PINANG),Jakarta Selatan,kompleks
KOMPLEK BINAMARGA (RAWAJATI),Jakarta Selatan,kompleks
KOMPLEK BNI 46,Jakarta Barat,kompleks
KOMPLEK BNI 46 (CILANDAK BARAT),Jakarta Selatan,kompleks
KOMPLEK BPP TEKNOLOGI,Jakarta Barat,kompleks
KOMPLEK BRI (JATIPADANG),Jakarta Selatan,kompleks
KOMPLEK BRI (RAWASARI),Jakarta Pusat,kompleks
KOMPLEK BRIMOB (CILINCING),Jakarta Utara,kompleks
KOMPLEK BRIMOB (SLIPI),Jakarta Barat,kompleks
KOMPLEK BTN,Jakarta Barat,kompleks
KOMPLEK BTN (KEMBANGAN UTARA),Jakarta Barat,kompleks
KOMPLEK BUARAN BARU,Jakarta Timur,kompleks
KOMPLEK BULOG (KAYU PUTIH),Jakarta Timur,kompleks
KOMPLEK BULOG (SUKABUMI SELATAN),Jakarta Barat,kompleks
KOMPLEK BULUH PERINDU,Jakarta Timur,kompleks
KOMPLEK BUNGUR 3,Jakarta Selatan,kompleks
KOMPLEK CAKRAWALA,Jakarta Utara,kompleks
KOMPLEK CALTEX,Jakarta Selatan,kompleks
KOMPLEK CARINA SAYANG 1,Jakarta Utara,kompleks
KOMPLEK CPM,Jakarta Selatan,kompleks
KOMPLEK DEN ZIPUR 3,Jakarta Timur,kompleks
KOMPLEK DEPARTEMEN AGAMA,Jakarta Barat,kompleks
KOMPLEK DEPARTEMEN DALAM NEGERI,Jakarta Selatan,kompleks
KOMPLEK DEPARTEMEN KESEHATAN (JOGLO),Jakarta Barat,kompleks
KOMPLEK DEPARTEMEN KESEHATAN (SUNTER JAYA),Jakarta Utara,kompleks
KOMPLEK DEPARTEMEN KEUANGAN (DUREN SAWIT),Jakarta Timur,kompleks
KOMPLEK DEPARTEMEN KEUANGAN (MERUYA SELATAN),Jakarta Barat,kompleks
KOMPLEK DEPARTEMEN LUAR NEGERI (CIPETE),Jakarta Selatan,kompleks
KOMPLEK DEPARTEMEN LUAR NEGERI (GROGOL SELATAN),Jakarta Selatan,kompleks
KOMPLEK DEPARTEMEN PENERANGAN,Jakarta Barat,kompleks
KOMPLEK DEPARTEMEN PERDAGANGAN,Jakarta Timur,kompleks
KOMPLEK DEPARTEMEN PERHUBUNGAN,Jakarta Timur,kompleks
KOMPLEK DEPARTEMEN PERTANIAN,Jakarta Selatan,kompleks
KOMPLEK DEPARTEMEN SOSIAL,Jakarta Timur,kompleks
KOMPLEK DEPARTEMEN SOSIAL MARGAGUNA,Jakarta Selatan,kompleks
KOMPLEK DEPDAGRI,Jakarta Timur,kompleks
KOMPLEK DEPDAGRI,Jakarta Selatan,kompleks
KOMPLEK DEPDIKBUD,Jakarta Selatan,kompleks
KOMPLEK DEPERINDAH,Jakarta Utara,kompleks
KOMPLEK DEPLU 25,Jakarta Selatan,kompleks
KOMPLEK DIRGANTARA 1,Jakarta Timur,kompleks
KOMPLEK DIRGANTARA 2,Jakarta Timur,kompleks
KOMPLEK DIRGANTARA 3,Jakarta Timur,kompleks
KOMPLEK DIRJEN ANGGARAN,Jakarta Timur,kompleks
KOMPLEK DISKUM AD,Jakarta Timur,kompleks
KOMPLEK DIT ZENI TNI AD,Jakarta Timur,kompleks
KOMPLEK DITJEN KETENAGAAN,Jakarta Barat,kompleks
KOMPLEK DITTOP TNI AD,Jakarta Pusat,kompleks
KOMPLEK DKI,Jakarta Barat,kompleks
KOMPLEK DOKTER,Jakarta Timur,kompleks
KOMPLEK DOLOG JAYA,Jakarta Timur,kompleks
KOMPLEK DOSEN TRISAKTI,Jakarta Barat,kompleks
KOMPLEK DPA (MERUYA SELATAN),Jakarta Barat,kompleks
KOMPLEK DPA (PALMERAH),Jakarta Barat,kompleks
KOMPLEK DPK SEMPER BARU,Jakarta Utara,kompleks
KOMPLEK DPR JOGLO,Jakarta Barat,kompleks
KOMPLEK DPR KEMANGGISAN,Jakarta Barat,kompleks
KOMPLEK DUREN SAWIT BARU,Jakarta Timur,kompleks
KOMPLEK GADING ARCADIA,Jakarta Utara,kompleks
KOMPLEK GRIYA AGUNG PERMAI,Jakarta Pusat,kompleks
KOMPLEK GUDANG PELURU,Jakarta Selatan,kompleks
KOMPLEK HARLAP,Jakarta Selatan,kompleks
JANUR ELOK,Jakarta Utara,kompleks
KESATRIAAN MARINIR CILANDAK,Jakarta Selatan,kompleks
KOMPLEK DEPARTEMEN KEUANGAN,Jakarta Timur,kompleks
KOMP.RINDAM JAYA,Jakarta Timur,kompleks
KOMPLE PERWIRA MABAD,Jakarta Barat,kompleks
MAWAR TOWNHOUSE,Jakarta Selatan,kompleks
MENTENG METROPOLITAN,Jakarta Timur,kompleks
METRO MARINA,Jakarta Utara,kompleks
MUTIARA BRAWIJAYA,Jakarta Selatan,kompleks
ORANGE GLEN (TAMAN JERUK PURUT),Jakarta Selatan,kompleks
PANORAMA INDAH,Jakarta Timur,kompleks
PERMATA KEMANG TOWN HOUSE,Jakarta Selatan,kompleks
PERMATA REGENCY,Jakarta Barat,kompleks
PERUM INTERKOTA INDAH,Jakarta Barat,kompleks
PERUM JASA TIRTA 2,Jakarta Timur,kompleks
PERUM YASMIN,Jakarta Selatan,kompleks
PERUMAHAN BANK EKONOMI,Jakarta Barat,kompleks
PERUMAHAN BATALYON KAVALERI 1,Jakarta Timur,kompleks
PERUMAHAN BEA CUKAI,Jakarta Barat,kompleks
PERUMAHAN BI,Jakarta Barat,kompleks
PERUMAHAN BNI,Jakarta Barat,kompleks
PERUMAHAN BUMI INDAH,Jakarta Barat,kompleks
PERUMAHAN BUMI KARANG INDAH,Jakarta Selatan,kompleks
PERUMAHAN BUMI MALAKA SARI,Jakarta Timur,kompleks
PERUMAHAN BUMI SARINAH,Jakarta Selatan,kompleks
PERUMAHAN BUNCIT RAYA PERMAI,Jakarta Selatan,kompleks
PERUMAHAN CENGKARENG INDAH,Jakarta Barat,kompleks
PERUMAHAN CIPULIR PERMAI,Jakarta Selatan,kompleks
PERUMAHAN DAAN MOGOT BARU,Jakarta Barat,kompleks
PERUMAHAN DUREN SAWIT,Jakarta Timur,kompleks
PERUMAHAN GOLKAR,Jakarta Barat,kompleks
PERUMAHAN JAYA,Jakarta Barat,kompleks
PERUMAHAN KARYAWAN FILM DAN TELEVISI,Jakarta Barat,kompleks
PERUMAHAN LEMIGAS,Jakarta Barat,kompleks
PERUMAHAN MIGAS 44,Jakarta Barat,kompleks
PERUMAHAN PAJAK,Jakarta Barat,kompleks
PERUMAHAN PERMATA MEDITERANIA,Jakarta Barat,kompleks
PERUMAHAN PERTAMINA,Jakarta Barat,kompleks
PERUMAHAN SEKNEG,Jakarta Barat,kompleks
PERUMAHAN SENAYAN RESIDENCES,Jakarta Selatan,kompleks
PERUMNAS BUMI SANGGRAHA,Jakarta Timur,kompleks
PONDOK ARLIN INDAH,Jakarta Timur,kompleks
PONDOK KUWERO,Jakarta Timur,kompleks
PULOMAS RESIDENCE,Jakarta Timur,kompleks
PURI BOTANICAL RESIDENCE,Jakarta Barat,kompleks
PURI KENCANA,Jakarta Barat,kompleks
RESIDENCE 28 KEDOYA,Jakarta Barat,kompleks
RUKO KELAPA GADING PERMAI,Jakarta Utara,kompleks
RUMAH KEDUTAAN,Jakarta Selatan,kompleks
RUMAH SUSUN BENDUNGAN HILIR,Jakarta Pusat,kompleks
RUMAH SUSUN KEMAYORAN,Jakarta Pusat,kompleks
RUSUN KOMPLEK DKI PENJARINGAN,Jakarta Utara,kompleks
SIMPRUG DIPORIS,Jakarta Utara,kompleks
SUNRISE GARDEN,Jakarta Barat,kompleks
TAMAN ALFA INDAH BLK C 2,Jakarta Barat,kompleks
TAMAN ALFA INDAH BLOCK B9,Jakarta Barat,kompleks
TAMAN BUKIT,Jakarta Selatan,kompleks
TAMAN GANDARIA,Jakarta Selatan,kompleks
TAMAN GANDARIA BLOK E,Jakarta Selatan,kompleks
TAMAN GRISENDA,Jakarta Utara,kompleks
TAMAN JATINEGARA,Jakarta Timur,kompleks
TAMAN KEBON JERUK,Jakarta Barat,kompleks
TAMAN KEDOYA BARU,Jakarta Barat,kompleks
TAMAN MERUYA ILIR,Jakarta Barat,kompleks
TAMAN PALEM LESTARI,Jakarta Barat,kompleks
TAMAN PERMATA BUANA,Jakarta Barat,kompleks
TAMAN PERMATA INDAH,Jakarta Barat,kompleks
TAMAN PERMATA INDAH II,Jakarta Utara,kompleks
TAMAN RATU INDAH,Jakarta Barat,kompleks
TAMAN RATU INDAH BLOK B4,Jakarta Barat,kompleks
TAMAN TAMAN PERMATA INDAH II (—),Jakarta Utara,kompleks
TAMAN RATU INDAH BLOK BB1,Jakarta Barat,kompleks
TAMAN TIRTA GOLF,Jakarta Selatan,kompleks
TANJUNG MAS RAYA,Jakarta Selatan,kompleks
THE GREEN MANSION,Jakarta Barat,kompleks
THE KEW GARDEN RESIDENCE,Jakarta Utara,kompleks
THE NIRWANA GARDEN,Jakarta Utara,kompleks
THE ST. MORITZ,Jakarta Barat,kompleks
THE VILLAS - KELAPA GADING SQUARE,Jakarta Utara,kompleks
TOWN HOUSE KEMANG,Jakarta Selatan,kompleks
TOWN HOUSE PURI BUNDA,Jakarta Timur,kompleks
VILLA ARTHA GADING,Jakarta Utara,kompleks
Agora Mall,Jakarta Pusat,mall
Citra Xperience Kemayoran,Jakarta Pusat,mall
Citywalk Sudirman,Jakarta Pusat,mall
FX Sudirman,Jakarta Pusat,mall
Gajah Mada Plaza,Jakarta Pusat,mall
Grand Indonesia,Jakarta Pusat,mall
Green Pramuka Square,Jakarta Pusat,mall
ITC Cempaka Mas,Jakarta Pusat,mall
ITC Roxy Mas,Jakarta Pusat,mall
Mal Atrium Senen,Jakarta Pusat,mall
Mal Mangga Dua,Jakarta Pusat,mall
Menteng Central,Jakarta Pusat,mall
MGK Kemayoran,Jakarta Pusat,mall
Plaza Indonesia,Jakarta Pusat,mall
Plaza Senayan,Jakarta Pusat,mall
Ratu Plaza,Jakarta Pusat,mall
Sarinah,Jakarta Pusat,mall
Senayan City,Jakarta Pusat,mall
Senayan Park,Jakarta Pusat,mall
Senayan Trade Center,Jakarta Pusat,mall
Thamrin City,Jakarta Pusat,mall
Baywalk Mall,Jakarta Utara,mall
Bella Terra Lifestyle Center,Jakarta Utara,mall
By The Sea Shopping District at Golf Island PIK,Jakarta Utara,mall
Emporium Pluit Mall,Jakarta Utara,mall
Food Centrum,Jakarta Utara,mall
ITC Mangga Dua,Jakarta Utara,mall
K Mall at Menara Jakarta,Jakarta Utara,mall
Koja Trade Mall,Jakarta Utara,mall
La Piazza,Jakarta Utara,mall
Mahaka Square,Jakarta Utara,mall
Mal Artha Gading,Jakarta Utara,mall
Mall of Indonesia,Jakarta Utara,mall
Mangga Dua Square,Jakarta Utara,mall
Metro Sunter Plaza,Jakarta Utara,mall
PIK Avenue,Jakarta Utara,mall
Pluit Village,Jakarta Utara,mall
Summarecon Mall Kelapa Gading,Jakarta Utara,mall
Sunter Mall,Jakarta Utara,mall
WTC Mangga Dua,Jakarta Utara,mall
Central Park Mall,Jakarta Barat,mall
Ciplaz Cengkareng,Jakarta Barat,mall
CityWalk Gajah Mada,Jakarta Barat,mall
Glodok Plaza,Jakarta Barat,mall
Grand Paragon Mall,Jakarta Barat,mall
Green Sedayu Mall,Jakarta Barat,mall
Lindeteves Trade Centre,Jakarta Barat,mall
Lokasari Square,Jakarta Barat,mall
Lippo Mall Puri,Jakarta Barat,mall
Mal Ciputra Jakarta,Jakarta Barat,mall
Mal Matahari Daan Mogot,Jakarta Barat,mall
Mal Taman Anggrek,Jakarta Barat,mall
Mal Taman Palem,Jakarta Barat,mall
Puri Indah Mall,Jakarta Barat,mall
Slipi Jaya Plaza,Jakarta Barat,mall
Srengseng Junction,Jakarta Barat,mall
Roxy Square,Jakarta Barat,mall
TM Seasons City,Jakarta Barat,mall
Wang Plaza,Jakarta Barat,mall
╞ON Mall Tanjung Barat,Jakarta Selatan,mall
Ashta District 8,Jakarta Selatan,mall
Bellagio Boutique Mall,Jakarta Selatan,mall
Blok M Plaza,Jakarta Selatan,mall
Blok M Square,Jakarta Selatan,mall
Cilandak Town Square,Jakarta Selatan,mall
Lotte Mall Jakarta,Jakarta Selatan,mall
Epiwalk,Jakarta Selatan,mall
Gandaria City,Jakarta Selatan,mall
Grand ITC Permata Hijau,Jakarta Selatan,mall
ITC Cipulir,Jakarta Selatan,mall
ITC Fatmawati,Jakarta Selatan,mall
ITC Kuningan,Jakarta Selatan,mall
Kalibata City Square,Jakarta Selatan,mall
Kemang Square,Jakarta Selatan,mall
Kota Kasablanka,Jakarta Selatan,mall
Kuningan City,Jakarta Selatan,mall
Lippo Mall Kemang,Jakarta Selatan,mall
Lippo Mall Nusantara,Jakarta Selatan,mall
Mal Ambasador,Jakarta Selatan,mall
Blok M Hub (dulu Mal Blok M),Jakarta Selatan,mall
Melawai Plaza,Jakarta Selatan,mall
One Belpark Mall,Jakarta Selatan,mall
Pacific Place,Jakarta Selatan,mall
Pasaraya Grande,Jakarta Selatan,mall
Plaza Festival,Jakarta Selatan,mall
Plaza Kalibata,Jakarta Selatan,mall
Poins Square,Jakarta Selatan,mall
Pondok Indah Mall,Jakarta Selatan,mall
Setiabudi One,Jakarta Selatan,mall
The Darmawangsa Square,Jakarta Selatan,mall
The Park Pejaten,Jakarta Selatan,mall
╞ON Mall Jakarta Garden City,Jakarta Timur,mall
Arion Mall,Jakarta Timur,mall
Buaran Plaza,Jakarta Timur,mall
Cibubur Junction,Jakarta Timur,mall
Ciplaz Klender,Jakarta Timur,mall
Cityplaza Jatinegara,Jakarta Timur,mall
Green Terrace TMII,Jakarta Timur,mall
Lippo Plaza Kramat Jati,Jakarta Timur,mall
Mall Grand Cakung,Jakarta Timur,mall
Mal Cijantung,Jakarta Timur,mall
Mall@Bassura,Jakarta Timur,mall
Mall Cipinang Indah,Jakarta Timur,mall
Pondok Kelapa Town Square,Jakarta Timur,mall
PGC Cililitan,Jakarta Timur,mall
Tamini Square,Jakarta Timur,mall
The Amboja,Jakarta Timur,mall
Art: 1 New Museum,Jakarta Pusat,museum
Bayt Al-Qurâ€™an dan Museum Istiqlal,Jakarta Timur,museum
Galeri Foto Jurnalistik Antara,Jakarta Pusat,museum
Galeri Nasional Indonesia,Jakarta Pusat,museum
Monumen Nasional dan Museum Sejarah Nasional,Jakarta Pusat,museum
Monumen Pancasila Sakti,Jakarta Timur,museum
Museum Alkitab,Jakarta Pusat,museum
Museum Al-Qurâ€™an,Jakarta Selatan,museum
Museum Anatomi Universitas Katolik Atmajaya,Jakarta Utara,museum
Museum Arkeologi Onrust,Kepulauan Seribu,museum
Museum Asmat,Jakarta Timur,museum
Museum Bahari,Jakarta Utara,museum
Museum Bank Indonesia,Jakarta Barat,museum
Museum Bank Tabungan Negara,Jakarta Barat,museum
Museum Basoeki Abdullah,Jakarta Selatan,museum
Museum Batik Indonesia,Jakarta Timur,museum
Museum Benda-Benda Alkitab Yerushalayim,Jakarta Utara,museum
Museum Betawi,Jakarta Selatan,museum
Museum BNI 1946,Jakarta Barat,museum
Museum Ciputra Artpreneur,Jakarta Selatan,museum
Museum Dharma Bhakti Kostrad,Jakarta Pusat,museum
Museum di Tengah Kebun,Jakarta Selatan,museum
Museum DPR RI,Jakarta Pusat,museum
Museum Fauna Indonesia â€œKomodoâ€ dan Taman Reptilia,Jakarta Timur,museum
Museum FKUI-Indonesia Museum of Health and Medicine,Jakarta Pusat,museum
Museum Graha Widya Patra (Minyak dan Gas Bumi),Jakarta Timur,museum
Museum Hakka Indonesia,Jakarta Timur,museum
Museum Harry Darsono,Jakarta Selatan,museum
Museum Indonesia,Jakarta Timur,museum
Museum Jenderal Besar Dr. A.H. Nasution,Jakarta Pusat,museum
Museum Joang â€˜45,Jakarta Pusat,museum
Museum Katedral,Jakarta Pusat,museum
Museum Kebangkitan Nasional,Jakarta Pusat,museum
Museum Kehutanan â€œIr. Djamaludin Suryohadikusumoâ€,Jakarta Pusat,museum
Museum Keprajuritan,Jakarta Timur,museum
Museum Korps Marinir Jakarta,Jakarta Pusat,museum
Museum Layang-Layang,Jakarta Selatan,museum
Museum Listrik dan Energi Baru,Jakarta Timur,museum
Museum MACAN (Modern and Contemporary Art in Nusantara),Jakarta Barat,museum
Museum Mandiri,Jakarta Barat,museum
Museum Maritim Indonesia,Jakarta Utara,museum
Museum M.H. Thamrin,Jakarta Pusat,museum
Museum Nasional Indonesia,Jakarta Pusat,museum
Museum Olahraga Nasional,Jakarta Timur,museum
Museum Pemadam Kebakaran,Jakarta Timur,museum
Museum Penerangan,Jakarta Timur,museum
Museum Perumusan Naskah Proklamasi,Jakarta Pusat,museum
Museum POLRI,Jakarta Selatan,museum
Museum Prangko,Jakarta Timur,museum
Museum Prasasti,Jakarta Pusat,museum
Museum Purna Bhakti Pertiwi,Jakarta Timur,museum
Museum Pusaka,Jakarta Timur,museum
Museum Santa Maria Juanda,Jakarta Pusat,museum
Museum Sasmitaloka Pahlawan Revolusi Jenderal TNI A. Yani,Jakarta Pusat,museum
Museum Satria Mandala,Jakarta Selatan,museum
Museum Sejarah Jakarta (Museum Fatahillah),Jakarta Barat,museum
Museum Seni Rupa dan Keramik,Jakarta Barat,museum
Museum Serangga,Jakarta Timur,museum
Museum Sumpah Pemuda,Jakarta Pusat,museum
Museum Tekstil,Jakarta Barat,museum
Museum Timor Timur,Jakarta Timur,museum
Museum Tragedi 12 Mei â€™98 Universitas Trisakti,Jakarta Barat,museum
Museum Transportasi,Jakarta Timur,museum
Museum Wayang,Jakarta Barat,museum
Pusat Peragaan IPTEK,Jakarta Timur,museum
Museum Benyamin Suaeb,Jakarta Timur,museum
Museum Pencak Silat,Jakarta Timur,museum
Museum Reksa Artha,Jakarta Selatan,museum
Diorama Sejarah Perjalanan Bangsa,Jakarta Selatan,museum
Museum Waspada Purbawisesa,Jakarta Selatan,museum
Museum Anti Narkotika Pranidha Ranajaya Ghanavara,Jakarta Timur,museum
Toeti Heraty Museum (Cemara 6 Galeri),Jakarta Pusat,museum
Roemah Toegoe,Jakarta Utara,museum
Magic Art 3D Museum Jakarta,Jakarta Barat,museum
Galeria Sophilia Fine Art Center,Jakarta Utara,museum
RSUD Cengkareng,Jakarta Barat,rumah_sakit
RSUD Kembangan,Jakarta Barat,rumah_sakit
RSUD Kalideres,Jakarta Barat,rumah_sakit
