name,wilayah,category,KELURAHAN_REF,KECAMATAN_REF,KODEPOS_REF,STATUS
Jatipadang Estate,Jakarta Selatan,kompleks,,,,Not_Found
Kalideres Permai,Jakarta Barat,kompleks,Kalideres,,11840.0,OSM_Success
Karang Indah,Jakarta Utara,kompleks,Pluit,,14440.0,OSM_Success
Karang Molek,Jakarta Utara,kompleks,Pluit,,14440.0,OSM_Success
Kavling DPRD,Jakarta Selatan,kompleks,Cibubur,,13720,OSM_Success_Recovered
Kavling Jatipadang,Jakarta Selatan,kompleks,,,,Not_Found
Kavling Semper,Jakarta Utara,kompleks,,,,Not_Found
Kawasan Departemen Kesehatan,Jakarta Pusat,kompleks,,,,Not_Found
Kebon Jeruk Baru,Jakarta Barat,kompleks,Kebon Jeruk,,11530.0,OSM_Success
Kebon Jeruk Indah,Jakarta Barat,kompleks,Duri Kepa,,11510.0,OSM_Success
Kebon Jeruk Permai,Jakarta Barat,kompleks,,,,Not_Found
Kedoya Garden,Jakarta Barat,kompleks,Kedoya Selatan,,11610.0,OSM_Success
Kedoya Permai,Jakarta Barat,kompleks,,,,Not_Found
Kelapa Gading Griya,Jakarta Utara,kompleks,,,,Not_Found
Kelapa Gading Pratama,Jakarta Utara,kompleks,Tugu Utara,,14260.0,OSM_Success
Kemang Indah,Jakarta Selatan,kompleks,,,,Not_Found
Kemang Village,Jakarta Selatan,kompleks,Bangka,,,OSM_Success
Kemanggisan Indah,Jakarta Barat,kompleks,,,,Not_Found
Kemayoran Villa,Jakarta Pusat,kompleks,,,,Not_Found
Kesatrian Marinir Cilandak,Jakarta Selatan,kompleks,,,,Not_Found
Klingkit Permai,Jakarta Barat,kompleks,Rawa Buaya,,11740.0,OSM_Success
Komplek Depkeu,Jakarta Timur,kompleks,,,,Not_Found
Komplek Rindam Jaya,Jakarta Timur,kompleks,,,,Not_Found
Komplek Perwira Mabad,Jakarta Barat,kompleks,,,,Not_Found
Komplek Agraria,Jakarta Selatan,kompleks,Kebayoran Lama Selatan,,12240.0,OSM_Success
Komplek Airud,Jakarta Utara,kompleks,,,,Not_Found
Komplek Akabri,Jakarta Selatan,kompleks,,,,Not_Found
Komplek Alamanda,Jakarta Selatan,kompleks,,,,Not_Found
Komplek Ambon,Jakarta Barat,kompleks,,,,Not_Found
Komplek Anggaran,Jakarta Selatan,kompleks,Duren Sawit,,13470,OSM_Success_Recovered
Komplek Anggota PWI,Jakarta Timur,kompleks,,,,Not_Found
Komplek Angkasa Pura,Jakarta Pusat,kompleks,Kebon Kosong,,,OSM_Success
KOMPLEK ANGKATAN LAUT,Jakarta Pusat,kompleks,,,,Not_Found
KOMPLEK BABEK TNI AD,Jakarta Utara,kompleks,,,,Not_Found
KOMPLEK BAKN,Jakarta Pusat,kompleks,,,,Not_Found
KOMPLEK BANGUN CIPTASARANA,Jakarta Timur,kompleks,,,,Not_Found
KOMPLEK BANK INDONESIA (JATIPADANG),Jakarta Selatan,kompleks,,,,Not_Found
KOMPLEK BANK INDONESIA (KEMANGGISAN),Jakarta Barat,kompleks,,,,Not_Found
KOMPLEK BANK INDONESIA (MENTENG ATAS),Jakarta Selatan,kompleks,,,,Not_Found
KOMPLEK BANK INDONESIA (MENTENG DALAM),Jakarta Selatan,kompleks,,,,Not_Found
KOMPLEK BANK INDONESIA (PASAR MINGGU),Jakarta Selatan,kompleks,,,,Not_Found
KOMPLEK BANK MANDIRI,Jakarta Selatan,kompleks,Mampang Prapatan,,17431.0,OSM_Success
KOMPLEK BAPPENAS,Jakarta Selatan,kompleks,,,,Not_Found
KOMPLEK BAPPENAS 1,Jakarta Selatan,kompleks,,,,Not_Found
KOMPLEK BATAN,Jakarta Selatan,kompleks,,,,Not_Found
KOMPLEK BATU KRAMAT,Jakarta Timur,kompleks,Batu Ampar,,13540.0,OSM_Success
KOMPLEK BATU SARI,Jakarta Barat,kompleks,,,,Not_Found
KOMPLEK BBD,Jakarta Selatan,kompleks,,,,Not_Found
KOMPLEK BBD (CIGANJUR),Jakarta Selatan,kompleks,,,,Not_Found
KOMPLEK BDN,Jakarta Barat,kompleks,Grogol Petamburan,,11460.0,OSM_Success
KOMPLEK BEA CUKAI,Jakarta Timur,kompleks,Sukapura,,14140,OSM_Success_Recovered
KOMPLEK BEA CUKAI (PASAR MINGGU),Jakarta Selatan,kompleks,,,,Not_Found
KOMPLEK BEA CUKAI (SUKAPURA),Jakarta Utara,kompleks,,,,Not_Found
KOMPLEK BERMIS,Jakarta Utara,kompleks,Pluit,,14440.0,OSM_Success
KOMPLEK BIN,Jakarta Selatan,kompleks,Bintaro,,12330.0,OSM_Success
KOMPLEK BINAMARGA (CIPAYUNG),Jakarta Timur,kompleks,,,,Not_Found
KOMPLEK BINAMARGA (KEBAYORAN LAMA SELATAN),Jakarta Selatan,kompleks,,,,Not_Found
KOMPLEK BINAMARGA (PONDOK KELAPA),Jakarta Timur,kompleks,,,,Not_Found
KOMPLEK BINAMARGA (PONDOK PINANG),Jakarta Selatan,kompleks,,,,Not_Found
KOMPLEK BINAMARGA (RAWAJATI),Jakarta Selatan,kompleks,,,,Not_Found
KOMPLEK BNI 46,Jakarta Barat,kompleks,Kemanggisan,,11420.0,OSM_Success
KOMPLEK BNI 46 (CILANDAK BARAT),Jakarta Selatan,kompleks,,,,Not_Found
KOMPLEK BPP TEKNOLOGI,Jakarta Barat,kompleks,,,,Not_Found
KOMPLEK BRI (JATIPADANG),Jakarta Selatan,kompleks,,,,Not_Found
KOMPLEK BRI (RAWASARI),Jakarta Pusat,kompleks,,,,Not_Found
KOMPLEK BRIMOB (CILINCING),Jakarta Utara,kompleks,,,,Not_Found
KOMPLEK BRIMOB (SLIPI),Jakarta Barat,kompleks,,,,Not_Found
KOMPLEK BTN,Jakarta Barat,kompleks,Kembangan Utara,,11740.0,OSM_Success
KOMPLEK BTN (KEMBANGAN UTARA),Jakarta Barat,kompleks,Kembangan Utara,,11740.0,OSM_Success
KOMPLEK BUARAN BARU,Jakarta Timur,kompleks,,,,Not_Found
KOMPLEK BULOG (KAYU PUTIH),Jakarta Timur,kompleks,Kayu Putih,,10570.0,OSM_Success
KOMPLEK BULOG (SUKABUMI SELATAN),Jakarta Barat,kompleks,Sukabumi Selatan,,,OSM_Success
KOMPLEK BULUH PERINDU,Jakarta Timur,kompleks,,,,Not_Found
KOMPLEK BUNGUR 3,Jakarta Selatan,kompleks,,,,Not_Found
KOMPLEK CAKRAWALA,Jakarta Utara,kompleks,,,,Not_Found
KOMPLEK CALTEX,Jakarta Selatan,kompleks,,,,Not_Found
KOMPLEK CARINA SAYANG 1,Jakarta Utara,kompleks,,,,Not_Found
KOMPLEK CPM,Jakarta Selatan,kompleks,,,,Not_Found
KOMPLEK DEN ZIPUR 3,Jakarta Timur,kompleks,,,,Not_Found
KOMPLEK DEPARTEMEN AGAMA,Jakarta Barat,kompleks,Kedaung Kali Angke,,11710.0,OSM_Success
KOMPLEK DEPARTEMEN DALAM NEGERI,Jakarta Selatan,kompleks,,,,Not_Found
KOMPLEK DEPARTEMEN KESEHATAN (JOGLO),Jakarta Barat,kompleks,,,,Not_Found
KOMPLEK DEPARTEMEN KESEHATAN (SUNTER JAYA),Jakarta Utara,kompleks,,,,Not_Found
KOMPLEK DEPARTEMEN KEUANGAN (DUREN SAWIT),Jakarta Timur,kompleks,Duren Sawit,,13440.0,OSM_Success
KOMPLEK DEPARTEMEN KEUANGAN (MERUYA SELATAN),Jakarta Barat,kompleks,,,,Not_Found
KOMPLEK DEPARTEMEN LUAR NEGERI (CIPETE),Jakarta Selatan,kompleks,,,,Not_Found
KOMPLEK DEPARTEMEN LUAR NEGERI (GROGOL SELATAN),Jakarta Selatan,kompleks,,,,Not_Found
KOMPLEK DEPARTEMEN PENERANGAN,Jakarta Barat,kompleks,,,,Not_Found
KOMPLEK DEPARTEMEN PERDAGANGAN,Jakarta Timur,kompleks,,,,Not_Found
KOMPLEK DEPARTEMEN PERHUBUNGAN,Jakarta Timur,kompleks,Tugu Utara,,14260,OSM_Success_Recovered
KOMPLEK DEPARTEMEN PERTANIAN,Jakarta Selatan,kompleks,,,,Not_Found
KOMPLEK DEPARTEMEN SOSIAL,Jakarta Timur,kompleks,,,,Not_Found
KOMPLEK DEPARTEMEN SOSIAL MARGAGUNA,Jakarta Selatan,kompleks,,,,Not_Found
KOMPLEK DEPDAGRI,Jakarta Timur,kompleks,,,,Not_Found
KOMPLEK DEPDAGRI,Jakarta Selatan,kompleks,,,,Not_Found
KOMPLEK DEPDIKBUD,Jakarta Selatan,kompleks,,,,Not_Found
KOMPLEK DEPERINDAH,Jakarta Utara,kompleks,,,,Not_Found
KOMPLEK DEPLU 25,Jakarta Selatan,kompleks,Grogol Selatan,,12230.0,OSM_Success
KOMPLEK DIRGANTARA 1,Jakarta Timur,kompleks,,,,Not_Found
KOMPLEK DIRGANTARA 2,Jakarta Timur,kompleks,,,,Not_Found
KOMPLEK DIRGANTARA 3,Jakarta Timur,kompleks,,,,Not_Found
KOMPLEK DIRJEN ANGGARAN,Jakarta Timur,kompleks,,,,Not_Found
KOMPLEK DISKUM AD,Jakarta Timur,kompleks,,,,Not_Found
KOMPLEK DIT ZENI TNI AD,Jakarta Timur,kompleks,,,,Not_Found
KOMPLEK DITJEN KETENAGAAN,Jakarta Barat,kompleks,,,,Not_Found
KOMPLEK DITTOP TNI AD,Jakarta Pusat,kompleks,,,,Not_Found
KOMPLEK DKI,Jakarta Barat,kompleks,Meruya Utara,,,OSM_Success
KOMPLEK DOKTER,Jakarta Timur,kompleks,Menteng Dalam,,12870,OSM_Success_Recovered
KOMPLEK DOLOG JAYA,Jakarta Timur,kompleks,Duren Sawit,,13440.0,OSM_Success
KOMPLEK DOSEN TRISAKTI,Jakarta Barat,kompleks,,,,Not_Found
KOMPLEK DPA (MERUYA SELATAN),Jakarta Barat,kompleks,,,,Not_Found
KOMPLEK DPA (PALMERAH),Jakarta Barat,kompleks,Palmerah,,11480.0,OSM_Success
KOMPLEK DPK SEMPER BARU,Jakarta Utara,kompleks,,,,Not_Found
KOMPLEK DPR JOGLO,Jakarta Barat,kompleks,Joglo,,11640.0,OSM_Success
KOMPLEK DPR KEMANGGISAN,Jakarta Barat,kompleks,Palmerah,,11480.0,OSM_Success
KOMPLEK DUREN SAWIT BARU,Jakarta Timur,kompleks,,,,Not_Found
KOMPLEK GADING ARCADIA,Jakarta Utara,kompleks,,,,Not_Found
KOMPLEK GRIYA AGUNG PERMAI,Jakarta Pusat,kompleks,,,,Not_Found
KOMPLEK GUDANG PELURU,Jakarta Selatan,kompleks,,,,Not_Found
KOMPLEK HARLAP,Jakarta Selatan,kompleks,,,,Not_Found
JANUR ELOK,Jakarta Utara,kompleks,Kelapa Gading Barat,,14240.0,OSM_Success
KESATRIAAN MARINIR CILANDAK,Jakarta Selatan,kompleks,,,,Not_Found
KOMPLEK DEPARTEMEN KEUANGAN,Jakarta Timur,kompleks,Duren Sawit,,13440.0,OSM_Success
KOMP.RINDAM JAYA,Jakarta Timur,kompleks,,,,Not_Found
KOMPLE PERWIRA MABAD,Jakarta Barat,kompleks,,,,Not_Found
MAWAR TOWNHOUSE,Jakarta Selatan,kompleks,,,,Not_Found
MENTENG METROPOLITAN,Jakarta Timur,kompleks,Menteng,,10310,OSM_Success_Recovered
METRO MARINA,Jakarta Utara,kompleks,Ancol,,14430.0,OSM_Success
MUTIARA BRAWIJAYA,Jakarta Selatan,kompleks,,,,Not_Found
ORANGE GLEN (TAMAN JERUK PURUT),Jakarta Selatan,kompleks,,,,Not_Found
PANORAMA INDAH,Jakarta Timur,kompleks,Gedong,,13760.0,OSM_Success
PERMATA KEMANG TOWN HOUSE,Jakarta Selatan,kompleks,,,,Not_Found
PERMATA REGENCY,Jakarta Barat,kompleks,Srengseng,,,OSM_Success
PERUM INTERKOTA INDAH,Jakarta Barat,kompleks,,,,Not_Found
PERUM JASA TIRTA 2,Jakarta Timur,kompleks,,,,Not_Found
PERUM YASMIN,Jakarta Selatan,kompleks,,,,Not_Found
PERUMAHAN BANK EKONOMI,Jakarta Barat,kompleks,,,,Not_Found
PERUMAHAN BATALYON KAVALERI 1,Jakarta Timur,kompleks,,,,Not_Found
PERUMAHAN BEA CUKAI,Jakarta Barat,kompleks,,,,Not_Found
PERUMAHAN BI,Jakarta Barat,kompleks,Duri Kosambi,,15211.0,OSM_Success
PERUMAHAN BNI,Jakarta Barat,kompleks,,,,Not_Found
PERUMAHAN BUMI INDAH,Jakarta Barat,kompleks,Lebak Bulus,,12440,OSM_Success_Recovered
PERUMAHAN BUMI KARANG INDAH,Jakarta Selatan,kompleks,Lebak Bulus,,12440.0,OSM_Success
PERUMAHAN BUMI MALAKA SARI,Jakarta Timur,kompleks,,,,Not_Found
PERUMAHAN BUMI SARINAH,Jakarta Selatan,kompleks,,,,Not_Found
PERUMAHAN BUNCIT RAYA PERMAI,Jakarta Selatan,kompleks,,,,Not_Found
PERUMAHAN CENGKARENG INDAH,Jakarta Barat,kompleks,,,,Not_Found
PERUMAHAN CIPULIR PERMAI,Jakarta Selatan,kompleks,,,,Not_Found
PERUMAHAN DAAN MOGOT BARU,Jakarta Barat,kompleks,,,,Not_Found
PERUMAHAN DUREN SAWIT,Jakarta Timur,kompleks,Duren Sawit,,,OSM_Success
PERUMAHAN GOLKAR,Jakarta Barat,kompleks,,,,Not_Found
PERUMAHAN JAYA,Jakarta Barat,kompleks,Kalideres,,11840.0,OSM_Success
PERUMAHAN KARYAWAN FILM DAN TELEVISI,Jakarta Barat,kompleks,,,,Not_Found
PERUMAHAN LEMIGAS,Jakarta Barat,kompleks,,,,Not_Found
PERUMAHAN MIGAS 44,Jakarta Barat,kompleks,,,,Not_Found
PERUMAHAN PAJAK,Jakarta Barat,kompleks,Jati Padang,,,OSM_Success_Recovered
PERUMAHAN PERMATA MEDITERANIA,Jakarta Barat,kompleks,,,,Not_Found
PERUMAHAN PERTAMINA,Jakarta Barat,kompleks,,,,Not_Found
PERUMAHAN SEKNEG,Jakarta Barat,kompleks,,,,Not_Found
PERUMAHAN SENAYAN RESIDENCES,Jakarta Selatan,kompleks,,,,Not_Found
PERUMNAS BUMI SANGGRAHA,Jakarta Timur,kompleks,,,,Not_Found
PONDOK ARLIN INDAH,Jakarta Timur,kompleks,,,,Not_Found
PONDOK KUWERO,Jakarta Timur,kompleks,,,,Not_Found
PULOMAS RESIDENCE,Jakarta Timur,kompleks,Pulo Gadung,,,OSM_Success
PURI BOTANICAL RESIDENCE,Jakarta Barat,kompleks,Meruya Selatan,,,OSM_Success
PURI KENCANA,Jakarta Barat,kompleks,Kembangan Selatan,,11610.0,OSM_Success
RESIDENCE 28 KEDOYA,Jakarta Barat,kompleks,Kedoya Selatan,,,OSM_Success
RUKO KELAPA GADING PERMAI,Jakarta Utara,kompleks,,,,Not_Found
RUMAH KEDUTAAN,Jakarta Selatan,kompleks,Kuningan Timur,,12950.0,OSM_Success
RUMAH SUSUN BENDUNGAN HILIR,Jakarta Pusat,kompleks,Bendungan Hilir,,10210.0,OSM_Success
RUMAH SUSUN KEMAYORAN,Jakarta Pusat,kompleks,Kebon Kosong,,,OSM_Success
RUSUN KOMPLEK DKI PENJARINGAN,Jakarta Utara,kompleks,,,,Not_Found
SIMPRUG DIPORIS,Jakarta Utara,kompleks,,,,Not_Found
SUNRISE GARDEN,Jakarta Barat,kompleks,,,,Not_Found
TAMAN ALFA INDAH BLK C 2,Jakarta Barat,kompleks,,,,Not_Found
TAMAN ALFA INDAH BLOCK B9,Jakarta Barat,kompleks,,,,Not_Found
TAMAN BUKIT,Jakarta Selatan,kompleks,Pondok Pinang,,12310.0,OSM_Success
TAMAN GANDARIA,Jakarta Selatan,kompleks,Kramat Pela,,12310.0,OSM_Success
TAMAN GANDARIA BLOK E,Jakarta Selatan,kompleks,,,,Not_Found
TAMAN GRISENDA,Jakarta Utara,kompleks,Kapuk Muara,,14460.0,OSM_Success
TAMAN JATINEGARA,Jakarta Timur,kompleks,Penggilingan,,,OSM_Success
TAMAN KEBON JERUK,Jakarta Barat,kompleks,Srengseng,,11620.0,OSM_Success
TAMAN KEDOYA BARU,Jakarta Barat,kompleks,Kedoya Selatan,,11510.0,OSM_Success
TAMAN MERUYA ILIR,Jakarta Barat,kompleks,Meruya Utara,,11620.0,OSM_Success
TAMAN PALEM LESTARI,Jakarta Barat,kompleks,Cengkareng Barat,,11730.0,OSM_Success
TAMAN PERMATA BUANA,Jakarta Barat,kompleks,,,,Not_Found
TAMAN PERMATA INDAH,Jakarta Barat,kompleks,Jelambar Baru,,11330.0,OSM_Success
TAMAN PERMATA INDAH II,Jakarta Utara,kompleks,Pejagalan,,14450.0,OSM_Success
TAMAN RATU INDAH,Jakarta Barat,kompleks,Kedoya Selatan,,11510.0,OSM_Success
TAMAN RATU INDAH BLOK B4,Jakarta Barat,kompleks,,,,Not_Found
TAMAN TAMAN PERMATA INDAH II (—),Jakarta Utara,kompleks,,,,Not_Found
TAMAN RATU INDAH BLOK BB1,Jakarta Barat,kompleks,,,,Not_Found
TAMAN TIRTA GOLF,Jakarta Selatan,kompleks,,,,Not_Found
TANJUNG MAS RAYA,Jakarta Selatan,kompleks,Tanjung Barat,,,OSM_Success
THE GREEN MANSION,Jakarta Barat,kompleks,,,,Not_Found
THE KEW GARDEN RESIDENCE,Jakarta Utara,kompleks,,,,Not_Found
THE NIRWANA GARDEN,Jakarta Utara,kompleks,,,,Not_Found
THE ST. MORITZ,Jakarta Barat,kompleks,,,,Not_Found
THE VILLAS - KELAPA GADING SQUARE,Jakarta Utara,kompleks,,,,Not_Found
TOWN HOUSE KEMANG,Jakarta Selatan,kompleks,,,,Not_Found
TOWN HOUSE PURI BUNDA,Jakarta Timur,kompleks,,,,Not_Found
VILLA ARTHA GADING,Jakarta Utara,kompleks,Kelapa Gading Barat,,14240.0,OSM_Success
Agora Mall,Jakarta Pusat,mall,Kebon Melati,,10230.0,OSM_Success
Citra Xperience Kemayoran,Jakarta Pusat,mall,Kebon Kosong,,10630.0,OSM_Success
Citywalk Sudirman,Jakarta Pusat,mall,Karet Tengsin,,10220.0,OSM_Success
FX Sudirman,Jakarta Pusat,mall,Gelora,,10270.0,OSM_Success
Gajah Mada Plaza,Jakarta Pusat,mall,Petojo Utara,,10130.0,OSM_Success
Grand Indonesia,Jakarta Pusat,mall,Menteng,,10350.0,OSM_Success
Green Pramuka Square,Jakarta Pusat,mall,Rawasari,,10570.0,OSM_Success
ITC Cempaka Mas,Jakarta Pusat,mall,Sumur Batu,,10640.0,OSM_Success
ITC Roxy Mas,Jakarta Pusat,mall,Cideng,,10150.0,OSM_Success
Mal Atrium Senen,Jakarta Pusat,mall,,,,Not_Found
Mal Mangga Dua,Jakarta Pusat,mall,Mangga Dua Selatan,,10730.0,OSM_Success
Menteng Central,Jakarta Pusat,mall,Menteng,,10330.0,OSM_Success
MGK Kemayoran,Jakarta Pusat,mall,,,,Not_Found
Plaza Indonesia,Jakarta Pusat,mall,Gondangdia,,10350.0,OSM_Success
Plaza Senayan,Jakarta Pusat,mall,Gelora,,10270.0,OSM_Success
Ratu Plaza,Jakarta Pusat,mall,Gelora,,10270.0,OSM_Success
Sarinah,Jakarta Pusat,mall,Gondangdia,,10310.0,OSM_Success
Senayan City,Jakarta Pusat,mall,Gelora,,10270.0,OSM_Success
Senayan Park,Jakarta Pusat,mall,Gelora,,10270.0,OSM_Success
Senayan Trade Center,Jakarta Pusat,mall,,,,Not_Found
Thamrin City,Jakarta Pusat,mall,Kebon Melati,,10230.0,OSM_Success
Baywalk Mall,Jakarta Utara,mall,Pluit,,14450.0,OSM_Success
Bella Terra Lifestyle Center,Jakarta Utara,mall,Kelapa Gading Timur,,14240.0,OSM_Success
By The Sea Shopping District at Golf Island PIK,Jakarta Utara,mall,,,,Not_Found
Emporium Pluit Mall,Jakarta Utara,mall,Penjaringan,,14430.0,OSM_Success
Food Centrum,Jakarta Utara,mall,Sunter Agung,,14350.0,OSM_Success
ITC Mangga Dua,Jakarta Utara,mall,Ancol,,14430.0,OSM_Success
K Mall at Menara Jakarta,Jakarta Utara,mall,Pademangan Timur,,10610.0,OSM_Success
Koja Trade Mall,Jakarta Utara,mall,Tugu Utara,,14260.0,OSM_Success
La Piazza,Jakarta Utara,mall,Kelapa Gading Timur,,14240.0,OSM_Success
Mahaka Square,Jakarta Utara,mall,Kelapa Gading Barat,,14240.0,OSM_Success
Mal Artha Gading,Jakarta Utara,mall,,,,Not_Found
Mall of Indonesia,Jakarta Utara,mall,Kelapa Gading Barat,,14240.0,OSM_Success
Mangga Dua Square,Jakarta Utara,mall,Gunung Sahari Utara,,14420.0,OSM_Success
Metro Sunter Plaza,Jakarta Utara,mall,Papanggo,,14340.0,OSM_Success
PIK Avenue,Jakarta Utara,mall,Kamal Muara,,14470.0,OSM_Success
Pluit Village,Jakarta Utara,mall,Pluit,,14450.0,OSM_Success
Summarecon Mall Kelapa Gading,Jakarta Utara,mall,Kelapa Gading Timur,,14240.0,OSM_Success
Sunter Mall,Jakarta Utara,mall,Sunter Agung,,14350.0,OSM_Success
WTC Mangga Dua,Jakarta Utara,mall,Pademangan Barat,,14420.0,OSM_Success
Central Park Mall,Jakarta Barat,mall,Tanjung Duren Selatan,,11470.0,OSM_Success
Ciplaz Cengkareng,Jakarta Barat,mall,Cengkareng Timur,,11739.0,OSM_Success
CityWalk Gajah Mada,Jakarta Barat,mall,Glodok,,11120.0,OSM_Success
Glodok Plaza,Jakarta Barat,mall,Mangga Besar,,11180.0,OSM_Success
Grand Paragon Mall,Jakarta Barat,mall,Keagungan,,11130.0,OSM_Success
Green Sedayu Mall,Jakarta Barat,mall,Cengkareng Barat,,11730.0,OSM_Success
Lindeteves Trade Centre,Jakarta Barat,mall,,,,Not_Found
Lokasari Square,Jakarta Barat,mall,Tangki,,11170.0,OSM_Success
Lippo Mall Puri,Jakarta Barat,mall,Kembangan Selatan,,11610.0,OSM_Success
Mal Ciputra Jakarta,Jakarta Barat,mall,Tanjung Duren Utara,,11470.0,OSM_Success
Mal Matahari Daan Mogot,Jakarta Barat,mall,,,,Not_Found
Mal Taman Anggrek,Jakarta Barat,mall,Tanjung Duren Selatan,,11440.0,OSM_Success
Mal Taman Palem,Jakarta Barat,mall,,,,Not_Found
Puri Indah Mall,Jakarta Barat,mall,Kembangan Selatan,,11610.0,OSM_Success
Slipi Jaya Plaza,Jakarta Barat,mall,Kemanggisan,,11480.0,OSM_Success
Srengseng Junction,Jakarta Barat,mall,Srengseng,,11630.0,OSM_Success
Roxy Square,Jakarta Barat,mall,Grogol Petamburan,,11450.0,OSM_Success
TM Seasons City,Jakarta Barat,mall,,,,Not_Found
Wang Plaza,Jakarta Barat,mall,Kedoya Utara,,11520.0,OSM_Success
╞ON Mall Tanjung Barat,Jakarta Selatan,mall,,,,Not_Found
Ashta District 8,Jakarta Selatan,mall,Senayan,,12110.0,OSM_Success
Bellagio Boutique Mall,Jakarta Selatan,mall,Kuningan Timur,,12950.0,OSM_Success
Blok M Plaza,Jakarta Selatan,mall,Kramat Pela,,12130.0,OSM_Success
Blok M Square,Jakarta Selatan,mall,Melawai,,12130.0,OSM_Success
Cilandak Town Square,Jakarta Selatan,mall,Cilandak Barat,,12430.0,OSM_Success
Lotte Mall Jakarta,Jakarta Selatan,mall,Karet Kuningan,,12940.0,OSM_Success
Epiwalk,Jakarta Selatan,mall,Karet Kuningan,,12960.0,OSM_Success
Gandaria City,Jakarta Selatan,mall,Kebayoran Lama Utara,,,OSM_Success
Grand ITC Permata Hijau,Jakarta Selatan,mall,Grogol Utara,,12210.0,OSM_Success
ITC Cipulir,Jakarta Selatan,mall,Cipulir,,12230.0,OSM_Success
ITC Fatmawati,Jakarta Selatan,mall,Cipete Utara,,12150.0,OSM_Success
ITC Kuningan,Jakarta Selatan,mall,Karet Kuningan,,12940.0,OSM_Success
Kalibata City Square,Jakarta Selatan,mall,Rawajati,,12750.0,OSM_Success
Kemang Square,Jakarta Selatan,mall,,,,Not_Found
Kota Kasablanka,Jakarta Selatan,mall,Menteng Dalam,,,OSM_Success
Kuningan City,Jakarta Selatan,mall,Karet Kuningan,,12920.0,OSM_Success
Lippo Mall Kemang,Jakarta Selatan,mall,Bangka,,12730.0,OSM_Success
Lippo Mall Nusantara,Jakarta Selatan,mall,,,,Not_Found
Mal Ambasador,Jakarta Selatan,mall,,,,Not_Found
Blok M Hub (dulu Mal Blok M),Jakarta Selatan,mall,,,,Not_Found
Melawai Plaza,Jakarta Selatan,mall,Melawai,,12160.0,OSM_Success
One Belpark Mall,Jakarta Selatan,mall,Pondok Labu,,12450.0,OSM_Success
Pacific Place,Jakarta Selatan,mall,Senayan,,12190.0,OSM_Success
Pasaraya Grande,Jakarta Selatan,mall,Melawai,,12160.0,OSM_Success
Plaza Festival,Jakarta Selatan,mall,Karet Kuningan,,12920.0,OSM_Success
Plaza Kalibata,Jakarta Selatan,mall,Rawajati,,12750.0,OSM_Success
Poins Square,Jakarta Selatan,mall,Lebak Bulus,,12440.0,OSM_Success
Pondok Indah Mall,Jakarta Selatan,mall,Pondok Pinang,,12310.0,OSM_Success
Setiabudi One,Jakarta Selatan,mall,Karet,,12910.0,OSM_Success
The Darmawangsa Square,Jakarta Selatan,mall,Pulo,,12160.0,OSM_Success
The Park Pejaten,Jakarta Selatan,mall,Ragunan,,12510.0,OSM_Success
╞ON Mall Jakarta Garden City,Jakarta Timur,mall,,,,Not_Found
Arion Mall,Jakarta Timur,mall,Rawamangun,,13220.0,OSM_Success
Buaran Plaza,Jakarta Timur,mall,Klender,,13470.0,OSM_Success
Cibubur Junction,Jakarta Timur,mall,Cibubur,,13720.0,OSM_Success
Ciplaz Klender,Jakarta Timur,mall,,,,Not_Found
Cityplaza Jatinegara,Jakarta Timur,mall,Bali Mester,,13110.0,OSM_Success
Green Terrace TMII,Jakarta Timur,mall,Cipayung,,,OSM_Success
Lippo Plaza Kramat Jati,Jakarta Timur,mall,Kramat Jati,,13510.0,OSM_Success
Mall Grand Cakung,Jakarta Timur,mall,,,,Not_Found
Mal Cijantung,Jakarta Timur,mall,,,,Not_Found
Mall@Bassura,Jakarta Timur,mall,Cipinang Besar Utara,,13410.0,OSM_Success
Mall Cipinang Indah,Jakarta Timur,mall,Duren Sawit,,13420.0,OSM_Success
Pondok Kelapa Town Square,Jakarta Timur,mall,Pondok Kelapa,,13440.0,OSM_Success
PGC Cililitan,Jakarta Timur,mall,Cililitan,,13640.0,OSM_Success
Tamini Square,Jakarta Timur,mall,Pinang Ranti,,13650.0,OSM_Success
The Amboja,Jakarta Timur,mall,Bambu Apus,,13890.0,OSM_Success
Art: 1 New Museum,Jakarta Pusat,museum,,,,Not_Found
Bayt Al-Qurâ€™an dan Museum Istiqlal,Jakarta Timur,museum,,,,Not_Found
Galeri Foto Jurnalistik Antara,Jakarta Pusat,museum,,,,Not_Found
Galeri Nasional Indonesia,Jakarta Pusat,museum,,,,Not_Found
Monumen Nasional dan Museum Sejarah Nasional,Jakarta Pusat,museum,,,,Not_Found
Monumen Pancasila Sakti,Jakarta Timur,museum,Lubang Buaya,,13810.0,OSM_Success
Museum Alkitab,Jakarta Pusat,museum,,,,Not_Found
Museum Al-Qurâ€™an,Jakarta Selatan,museum,,,,Not_Found
Museum Anatomi Universitas Katolik Atmajaya,Jakarta Utara,museum,,,,Not_Found
Museum Arkeologi Onrust,Kepulauan Seribu,museum,,,,Not_Found
Museum Asmat,Jakarta Timur,museum,Ceger,,13890.0,OSM_Success
Museum Bahari,Jakarta Utara,museum,Penjaringan,,14470.0,OSM_Success
Museum Bank Indonesia,Jakarta Barat,museum,Pinangsia,,11110.0,OSM_Success
Museum Bank Tabungan Negara,Jakarta Barat,museum,,,,Not_Found
